families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
poisson+poisson+zinb,3,20.0,True,True,,-1756.6306014419652,3616.8775320686623,3543.2612028839303,-1610.9419968007621,"[0.15367640066198107, 0.002827428806994124, 0.8434961705310249]",51.21548469579479,9.335302509442704,"[2, 0, 6]",0.0,7.0,"[[15, 21], [], [1, 2, 5, 21, 22, 24]]","[[""x24"", ""x23""], [], [""x52"", ""x2"", ""x17"", ""x23"", ""x51"", ""x61""]]","[{""x24"": 0.04044633044292155, ""x23"": -0.2526468110388294}, {}, {""x52"": 0.19728833212287436, ""x2"": 0.23584505215104518, ""x17"": 0.28450631492592676, ""x23"": -0.0391547514623158, ""x51"": 0.23393492263333124, ""x61"": -0.8252006834480753}]","[-0.8766954969409813, -6.545104894519, 0.8930239634731209]",20,0.002827428806994124,340.27134680747986,blog,quantile_glm,blog_K3_poisson-poisson-zinb_L20.0_quantile_glm
poisson+zinb+zinb,3,20.0,True,True,,-1737.1339383687418,3591.69971648018,3508.2678767374837,-1615.4464310601588,"[0.15488297286289468, 0.18376090983046148, 0.6613561173066438]",52.194891513518414,9.366928284147024,"[0, 2, 6]",0.0,6.0,"[[], [1, 22], [1, 5, 11, 21, 22, 24]]","[[], [""x52"", ""x51""], [""x52"", ""x17"", ""x4"", ""x23"", ""x51"", ""x61""]]","[{}, {""x52"": 0.23829804208718416, ""x51"": 0.06516983076897538}, {""x52"": 0.11181990159567518, ""x17"": 0.7295084563422669, ""x4"": 0.0327386709665353, ""x23"": -0.006394030886290299, ""x51"": 0.28154537169774724, ""x61"": -1.3239107451893597}]","[-1.6544125644746412, 1.1522336619481959, 0.441105757294871]",17,0.15488297286289468,240.8011155128479,blog,quantile_glm,blog_K3_poisson-zinb-zinb_L20.0_quantile_glm
nb2+nb2+nb2,3,20.0,False,True,,-1729.1943254043488,3582.728245830376,3494.3886508086975,-1591.4621109949103,"[0.31142098828110487, 0.05453631764014709, 0.634042694078748]",52.79806991682441,9.477153747354043,"[4, 0, 6]",0.0,7.0,"[[1, 11, 18, 22], [], [1, 5, 11, 21, 22, 24]]","[[""x52"", ""x4"", ""x19"", ""x51""], [], [""x52"", ""x17"", ""x4"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.36662081837014715, ""x4"": 0.18319346149014595, ""x19"": 0.05109515756577193, ""x51"": 0.08487939801216986}, {}, {""x52"": 0.13004963539460637, ""x17"": 0.7129099234274776, ""x4"": 0.010311155216265603, ""x23"": -0.012116543341487509, ""x51"": 0.3005225663743342, ""x61"": -1.2940864451270535}]","[0.2367834936124776, 2.478769001560022, 0.3913589872680217]",20,0.05453631764014709,209.99795365333557,blog,quantile_glm,blog_K3_nb2-nb2-nb2_L20.0_quantile_glm
nb2+nb2+zip,3,20.0,True,True,,-1734.4676859097287,3607.0904773991,3508.9353718194575,-1593.4890541737655,"[0.575354581221076, 0.3870661729941839, 0.037579245784740194]",52.98286300660908,9.708940487519653,"[7, 5, 0]",0.0,8.0,"[[1, 5, 7, 8, 11, 22, 24], [1, 5, 21, 22, 24], []]","[[""x52"", ""x17"", ""x16"", ""x1"", ""x4"", ""x51"", ""x61""], [""x52"", ""x17"", ""x23"", ""x51"", ""x61""], []]","[{""x52"": 0.244616502456114, ""x17"": 0.5544715316896734, ""x16"": 0.02362471024359769, ""x1"": 0.16705261793533158, ""x4"": 0.24547841950741206, ""x51"": 0.06792702072606963, ""x61"": -0.6093873196693722}, {""x52"": 0.21906974801179985, ""x17"": 0.022043976479917095, ""x23"": -0.08624055419607025, ""x51"": 0.05868583227356652, ""x61"": -0.7152836667076472}, {}]","[-0.20185631562249284, 1.5815777679407825, 1.584932346633151]",17,0.037579245784740194,255.95049262046814,blog,kmeans_glm,blog_K3_nb2-nb2-zip_L20.0_kmeans_glm
poisson+nb2,2,20.0,True,True,,-1758.7528917668694,3586.58333632356,3537.505783533739,-1611.201339840301,"[0.11598072019214661, 0.8840192798078533]",53.90728720147637,9.57080609643476,"[0, 6]",0.0,6.0,"[[], [1, 2, 5, 21, 22, 24]]","[[], [""x52"", ""x2"", ""x17"", ""x23"", ""x51"", ""x61""]]","[{}, {""x52"": 0.2013192593976273, ""x2"": 0.2122381904055805, ""x17"": 0.3072729260367268, ""x23"": -0.04780752811847318, ""x51"": 0.24040091955894125, ""x61"": -0.8262112635968363}]","[-1.3226832011676783, 0.8596451593103542]",15,0.11598072019214661,158.10100746154785,blog,quantile_glm,blog_K2_poisson-nb2_L20.0_quantile_glm
zip+zinb,2,20.0,True,True,,-1758.7808784148328,3600.4548201774514,3541.5617568296657,-1611.8887072655798,"[0.12387783246356433, 0.8761221675364357]",55.01307718459309,9.67773013886055,"[0, 6]",0.0,6.0,"[[], [1, 2, 5, 21, 22, 24]]","[[], [""x52"", ""x2"", ""x17"", ""x23"", ""x51"", ""x61""]]","[{}, {""x52"": 0.19415892813288627, ""x2"": 0.23193998101494692, ""x17"": 0.2906382816902836, ""x23"": -0.04944734609158669, ""x51"": 0.2577047260903242, ""x61"": -0.8413371976146434}]","[0.42905159087946326, 0.8384670889853492]",21,0.12387783246356433,264.7237377166748,blog,quantile_glm,blog_K2_zip-zinb_L20.0_quantile_glm
poisson+zinb,2,20.0,True,True,,-1756.504432092755,3609.7174380912597,3541.00886418551,-1610.2991353346015,"[0.1120492139964981, 0.887950786003502]",55.88820900968628,9.716562879076076,"[3, 6]",1.0,7.0,"[[13, 15, 21], [1, 2, 5, 21, 22, 24]]","[[""x14"", ""x24"", ""x23""], [""x52"", ""x2"", ""x17"", ""x23"", ""x51"", ""x61""]]","[{""x14"": 0.006850506652211213, ""x24"": 0.011983462749287738, ""x23"": -0.16274217235409563}, {""x52"": 0.20339619337853854, ""x2"": 0.2700749965719843, ""x17"": 0.24937740872506445, ""x23"": -0.0462239758729736, ""x51"": 0.24375732113481835, ""x61"": -0.8282835554664555}]","[-0.42289601938778365, 0.8327639520289266]",17,0.1120492139964981,201.4978415966034,blog,quantile_glm,blog_K2_poisson-zinb_L20.0_quantile_glm
nb2+zinb,2,20.0,True,True,,-1743.9060971926988,3577.6130130121655,3513.8121943853976,-1596.4114673979338,"[0.8396363911813222, 0.16036360881867784]",58.4797414748963,10.290286462723957,"[7, 0]",0.0,7.0,"[[1, 2, 5, 11, 21, 22, 24], []]","[[""x52"", ""x2"", ""x17"", ""x4"", ""x23"", ""x51"", ""x61""], []]","[{""x52"": 0.19913641153326014, ""x2"": 0.2300481365287913, ""x17"": 0.2938002828412987, ""x4"": 0.09330928695752892, ""x23"": -0.013903717167868177, ""x51"": 0.241297016093642, ""x61"": -0.9097601365641597}, {}]","[0.6543691789971092, 1.82443496873584]",8,0.16036360881867784,155.180025100708,blog,kmeans_glm,blog_K2_nb2-zinb_L20.0_kmeans_glm
poisson+zinb+zinb,3,20.0,True,True,,-1722.459265608694,3790.306295166495,3544.918531217388,-1591.9621099437345,"[0.14660837654927728, 0.5029510188226227, 0.3504406046281]",59.61551407528296,10.375785538732929,"[29, 7, 5]",4.0,27.0,"[[1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 39], [1, 2, 5, 8, 11, 22, 24], [1, 5, 21, 22, 24]]","[[""x52"", ""x2"", ""x7"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x6"", ""x14"", ""x9"", ""x21"", ""x19"", ""x15"", ""x10"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x41"", ""x57"", ""x55"", ""x47"", ""x37"", ""x32"", ""x27""], [""x52"", ""x2"", ""x17"", ""x1"", ""x4"", ""x51"", ""x61""], [""x52"", ""x17"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.0517340843120115, ""x2"": -62.8889032443137, ""x7"": 50.752117195916625, ""x17"": 30.135749378086274, ""x22"": -32.29627246712418, ""x16"": -117.36388614147624, ""x1"": 146.4182729470702, ""x11"": -85.537136565861, ""x6"": 78.60520877524529, ""x14"": 7.688845631395501, ""x9"": -1.6667485770323514, ""x21"": -15.251791656403919, ""x19"": -0.7255344215680725, ""x15"": -20.43342782604534, ""x10"": 34.42304200035426, ""x51"": 0.005650091841166941, ""x54"": 0.003552691971214846, ""x61"": -1.2794896667598274, ""x35"": -11.574950157661926, ""x31"": 36.82886645406641, ""x36"": -13.015247105410282, ""x26"": -49.50517056919541, ""x41"": 18.94081882789522, ""x57"": 0.017450276147778773, ""x55"": 0.011658915717779442, ""x47"": 49.703602868560125, ""x37"": 2.438488131688475, ""x32"": -79.2389520228178, ""x27"": 29.966767841735404}, {""x52"": 0.36408039120014163, ""x2"": 0.19421173423911128, ""x17"": 0.2178501785356395, ""x1"": 0.03155292873075795, ""x4"": 0.2873597807364529, ""x51"": 0.09204420985013262, ""x61"": -0.5425286505257069}, {""x52"": 0.15265984148400788, ""x17"": 0.13192013003590125, ""x23"": -0.0025076160112851753, ""x51"": 0.026084346313378293, ""x61"": -0.6621212703379638}]","[-4.6838254703637485, 0.22745698212653775, 1.6039299620289715]",11,0.14660837654927728,229.94387364387512,blog,kmeans_glm,blog_K3_poisson-zinb-zinb_L20.0_kmeans_glm
poisson+zip+zinb,3,20.0,True,True,,-1748.4304850593608,3614.292809861418,3530.8609701187215,-1606.8688790308606,"[0.07234248233219913, 0.021461411671909833, 0.906196105995891]",60.13494067760876,9.958424779733607,"[0, 2, 7]",0.0,8.0,"[[], [21, 37], [1, 2, 5, 11, 21, 22, 24]]","[[], [""x23"", ""x42""], [""x52"", ""x2"", ""x17"", ""x4"", ""x23"", ""x51"", ""x61""]]","[{}, {""x23"": 0.11183527799051282, ""x42"": -0.07219555397231338}, {""x52"": 0.1949561566954767, ""x2"": 0.23448465898428586, ""x17"": 0.3324887683772517, ""x4"": 0.005739993861253347, ""x23"": -0.06252893306542986, ""x51"": 0.22585426403260817, ""x61"": -0.9411898712481479}]","[-1.095199586516033, 3.519345536810121, 0.6931180275659172]",38,0.021461411671909833,554.7937617301941,blog,quantile_glm,blog_K3_poisson-zip-zinb_L20.0_quantile_glm
