families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
nb2,1,20.0,False,True,,-1753.6347621817247,3555.6238113163245,3521.2695243634494,-1603.3345882216868,[1.0],87.69861896353827,11.75745528359866,[5],,,"[[1, 2, 21, 22, 24]]","[[""x52"", ""x2"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.22957233000656535, ""x2"": 0.5093194724336351, ""x23"": -0.07802392092678011, ""x51"": 0.24773009844119068, ""x61"": -0.8233398929363799}]",[0.7471119322523023],25,1.0,249.61844396591187,blog,quantile_glm,blog_K1_nb2_L20.0_quantile_glm
nb2+nb2,2,20.0,False,True,,-1733.182476166112,3556.165770958992,3492.364952332224,-1604.689825930416,"[0.478982994774765, 0.521017005225235]",41.24084777875655,8.311918426615485,"[3, 5]",2.0,4.0,"[[1, 11, 22], [1, 2, 5, 22, 24]]","[[""x52"", ""x4"", ""x51""], [""x52"", ""x2"", ""x17"", ""x51"", ""x61""]]","[{""x52"": 0.3272359978829997, ""x4"": 0.11628852310881717, ""x51"": 0.24400103030767525}, {""x52"": 0.08766237558958813, ""x2"": 0.036297045741192024, ""x17"": 0.6618516110140935, ""x51"": 0.27679211669372816, ""x61"": -1.3723833682349558}]","[0.29406292380698185, 0.6142414131604494]",9,0.478982994774765,83.57496953010559,blog,quantile_glm,blog_K2_nb2-nb2_L20.0_quantile_glm
nb2+nb2,2,20.0,False,True,,-1738.1929590759923,3559.2789814997705,3500.3859181519847,-1593.37445353464,"[0.9051377883041749, 0.09486221169582512]",84.13997413813946,12.052337542042313,"[7, 0]",0.0,7.0,"[[1, 2, 5, 11, 21, 22, 24], []]","[[""x52"", ""x2"", ""x17"", ""x4"", ""x23"", ""x51"", ""x61""], []]","[{""x52"": 0.2784804874457814, ""x2"": 0.06845241872681072, ""x17"": 0.5303749729125797, ""x4"": 0.0986220730829297, ""x23"": -0.06592449751541841, ""x51"": 0.15722978864735274, ""x61"": -0.8842192067422321}, {}]","[0.28547906348610613, 2.9402750790911982]",34,0.09486221169582512,206.33874988555908,blog,kmeans_glm,blog_K2_nb2-nb2_L20.0_kmeans_glm
nb2+zinb,2,5.0,True,True,,-1662.7451180705852,3560.3539156265633,3393.4902361411705,-1561.5461857402859,"[0.45513930618640785, 0.5448606938135923]",1.3317424530746424e+16,565636488148785.9,"[11, 17]",7.0,14.0,"[[1, 16, 17, 22, 24, 27, 29, 31, 36, 38, 40], [1, 2, 3, 5, 11, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 38]]","[[""x52"", ""x9"", ""x21"", ""x51"", ""x61"", ""x36"", ""x30"", ""x57"", ""x45"", ""x46"", ""x39""], [""x52"", ""x2"", ""x7"", ""x17"", ""x4"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x30"", ""x41"", ""x57"", ""x55"", ""x46""]]","[{""x52"": 1.6375699172144724, ""x9"": -0.23806287651405095, ""x21"": 3.3724555324890106, ""x51"": 0.6464078130319388, ""x61"": 0.013531507877699191, ""x36"": -0.28555268952473184, ""x30"": -0.2655875641549442, ""x57"": 0.04194649408736084, ""x45"": -0.21469792759029904, ""x46"": 0.4919510931303797, ""x39"": 0.24858340009359794}, {""x52"": 0.18198829835949684, ""x2"": 0.9540912568650773, ""x7"": 0.12858227490744664, ""x17"": 0.04411837315642197, ""x4"": 0.06187651069309994, ""x51"": 0.4820512952791966, ""x54"": -0.1919583738878846, ""x61"": -1.9530861245293454, ""x35"": -0.03444675897770136, ""x31"": -0.07651659867449605, ""x36"": -0.0002996283801065278, ""x26"": -0.20951472577455962, ""x30"": -0.32438057590148484, ""x41"": -0.01099680469391342, ""x57"": -0.06324134646657308, ""x55"": -0.06207213319948109, ""x46"": -0.0190241335151106}]","[0.720731646127326, -0.28264635250107256]",81,0.45513930618640785,1291.4789617061615,blog,kmeans_glm,blog_K2_nb2-zinb_L5.0_kmeans_glm
zinb,1,20.0,False,True,,-1753.582255736554,3562.426553704965,3523.164511473108,-1603.2752868319121,[1.0],88.16141263317756,11.789137841756434,[5],,,"[[1, 2, 21, 22, 24]]","[[""x52"", ""x2"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.2294289396463512, ""x2"": 0.508564880925862, ""x23"": -0.07961012113001424, ""x51"": 0.24889139353744852, ""x61"": -0.8239162010923674}]",[0.7471887916095828],24,1.0,272.89786672592163,blog,kmeans_glm,blog_K1_zinb_L20.0_kmeans_glm
zinb,1,20.0,False,True,,-1753.582255736554,3562.426553704965,3523.164511473108,-1603.2752868319121,[1.0],88.16141263317756,11.789137841756434,[5],,,"[[1, 2, 21, 22, 24]]","[[""x52"", ""x2"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.2294289396463512, ""x2"": 0.508564880925862, ""x23"": -0.07961012113001424, ""x51"": 0.24889139353744852, ""x61"": -0.8239162010923674}]",[0.7471887916095828],24,1.0,292.63226294517517,blog,quantile_glm,blog_K1_zinb_L20.0_quantile_glm
nb2,1,5.0,False,True,,-1723.2907623532524,3564.013364449201,3480.5815247065048,-2871.841335807095,[1.0],100204.78081875082,4599.782515866355,[15],,,"[[1, 2, 3, 5, 14, 17, 21, 22, 24, 25, 29, 31, 32, 38, 40]]","[[""x52"", ""x2"", ""x7"", ""x17"", ""x20"", ""x21"", ""x23"", ""x51"", ""x61"", ""x35"", ""x30"", ""x57"", ""x55"", ""x46"", ""x39""]]","[{""x52"": 0.33566734661034264, ""x2"": 0.5945076765132978, ""x7"": 0.02714482319349502, ""x17"": 0.015110846414884286, ""x20"": -0.13747861892895152, ""x21"": 1.5988189771500112, ""x23"": -0.020350125583570265, ""x51"": 0.31173299557970696, ""x61"": -0.9263699474048434, ""x35"": -1.3811009380432018, ""x30"": -0.39935891635800913, ""x57"": 0.015752755967003883, ""x55"": -0.015587942555485375, ""x46"": 0.010285398474752265, ""x39"": 0.0812294069262985}]",[0.549551501262771],155,1.0,1487.235104084015,blog,kmeans_glm,blog_K1_nb2_L5.0_kmeans_glm
nb2,1,5.0,False,True,,-1723.2907623532524,3564.013364449201,3480.5815247065048,-2871.841335807095,[1.0],100204.78081875082,4599.782515866355,[15],,,"[[1, 2, 3, 5, 14, 17, 21, 22, 24, 25, 29, 31, 32, 38, 40]]","[[""x52"", ""x2"", ""x7"", ""x17"", ""x20"", ""x21"", ""x23"", ""x51"", ""x61"", ""x35"", ""x30"", ""x57"", ""x55"", ""x46"", ""x39""]]","[{""x52"": 0.33566734661034264, ""x2"": 0.5945076765132978, ""x7"": 0.02714482319349502, ""x17"": 0.015110846414884286, ""x20"": -0.13747861892895152, ""x21"": 1.5988189771500112, ""x23"": -0.020350125583570265, ""x51"": 0.31173299557970696, ""x61"": -0.9263699474048434, ""x35"": -1.3811009380432018, ""x30"": -0.39935891635800913, ""x57"": 0.015752755967003883, ""x55"": -0.015587942555485375, ""x46"": 0.010285398474752265, ""x39"": 0.0812294069262985}]",[0.549551501262771],155,1.0,1525.9774696826935,blog,quantile_glm,blog_K1_nb2_L5.0_quantile_glm
nb2+zinb,2,20.0,True,True,,-1734.036147845881,3564.780869597512,3496.072295691762,-1603.1341430440455,"[0.4812579992552708, 0.5187420007447292]",40.09490236656222,8.103614262130485,"[5, 3]",2.0,4.0,"[[1, 2, 5, 22, 24], [1, 11, 22]]","[[""x52"", ""x2"", ""x17"", ""x51"", ""x61""], [""x52"", ""x4"", ""x51""]]","[{""x52"": 0.08284281357820669, ""x2"": 0.014195040649804478, ""x17"": 0.6636090704735055, ""x51"": 0.25789903153184696, ""x61"": -1.3627820092739997}, {""x52"": 0.35580203557035406, ""x4"": 0.16377107131385682, ""x51"": 0.25663195982661324}]","[0.69147388170989, 0.2406351522003164]",17,0.4812579992552708,198.58404350280762,blog,quantile_glm,blog_K2_nb2-zinb_L20.0_quantile_glm
nb2+nb2,2,10.0,False,True,,-1713.452768979062,3565.0606435377667,3466.905537958124,-1584.5734311698097,"[0.27951025498501925, 0.7204897450149809]",176.25557941605967,16.372881111173392,"[5, 10]",4.0,7.0,"[[1, 5, 21, 22, 24], [1, 2, 5, 7, 8, 11, 22, 24, 27, 29]]","[[""x52"", ""x17"", ""x23"", ""x51"", ""x61""], [""x52"", ""x2"", ""x17"", ""x16"", ""x1"", ""x4"", ""x51"", ""x61"", ""x36"", ""x30""]]","[{""x52"": 0.0895250739927522, ""x17"": 0.14587223398692634, ""x23"": -0.06696975987209576, ""x51"": 0.2517047417629482, ""x61"": -0.8509824566473515}, {""x52"": 0.3969314942399579, ""x2"": 6.612541394850928e-05, ""x17"": 0.5849103942007186, ""x16"": 0.2750008563860114, ""x1"": 0.10326439882678698, ""x4"": 0.2622550032852763, ""x51"": 0.07418267510970603, ""x61"": -0.8019579803093976, ""x36"": -0.17223933503372185, ""x30"": -0.1733009183254293}]","[1.8005622327827344, -0.49649583998947533]",35,0.27951025498501925,422.0800426006317,blog,kmeans_glm,blog_K2_nb2-nb2_L10.0_kmeans_glm
