example_id,penalty,Lambda,MSE,TPR,FPR,FDR,FNR,Selected,Test_LL
1,enet,20.3,0.0053129943010832,1,0.524,0.602195177448962,0,25.72,-1.91670005478774
1,lasso,19.9,0.0055882094502979,1,0.222,0.387511100160515,0,16.66,-1.91538852756481
1,none,0,0.0049959372271809,1,0.998333333333333,0.749676113360324,0,39.95,-1.91918262569958
2,enet,141,0.0073116024165968,0.766,0.275666666666667,0.493792423704364,0.234,15.93,-1.16452330600792
2,lasso,136.4,0.0081213185430446,0.717,0.152333333333333,0.288966293206558,0.283,11.74,-1.17008324044804
2,none,0,0.0029118125977768,1,0.994666666666667,0.748967611336032,0,39.84,-1.1522778839951
4,enet,65.6,0.0060944628113976,0.985,0.382666666666667,0.519878344683895,0.015,21.33,-2.47322897538883
4,lasso,43.6,0.0061908717886901,0.975,0.297333333333333,0.451725001559888,0.025,18.67,-2.47295591223574
4,none,0,0.0064810380024087,1,0.997333333333333,0.74948717948718,0,39.92,-2.47696743199376
