dataset,split_id,bic_advantage,logscore_advantage,rmse_advantage
parkinsons,0,190.109658610686,-0.289569905168959,-0.00357079179664455
parkinsons,1,-6.44686841668914,-0.0126279404064542,-0.00170199155554041
parkinsons,2,26.1100459196158,0.0348855745775043,-0.00203682110735548
parkinsons,3,26.7942889701503,-0.0308558918786594,-0.000595703645129786
parkinsons,4,-14.1019210922941,-0.309067410433446,-0.0376043173990922
rand,0,-3.35611846214124,0.000158019475779314,1.59551857275168
rand,1,22.1339830723309,0.00242415913262306,-0.013505270549782
rand,2,10.8768614901037,-0.00174047907264108,-0.0172354159028494
rand,3,20.0368527215705,-0.00631793247193768,-0.0239948996466497
rand,4,21.8866131383302,-0.00205919852099856,-0.00270893562562469
