dataset,model_class,families,K,lambda,score,selection_loglik_train,active_counts,refit_pi
parkinsons,"Identical, K>1",student_t+student_t+student_t,3,5,3120.14151106758,-1304.05614603292,"[17, 14, 17]","[0.27125858764506344, 0.40373665366429096, 0.3250047586906456]"
parkinsons,K=1,student_t,1,0.1,5135.60619663969,-2481.01848492972,[17],[1.0]
parkinsons,Non-identical,gaussian+gaussian+student_t,3,10,3088.04387857383,-1309.70348313358,"[17, 15, 13]","[0.3278143476504179, 0.26935446745996505, 0.402831184889617]"
rand,"Identical, K>1",zinb+zinb,2,20,7966.65901943714,-3805.2923507347,"[24, 10]","[0.8752986144613654, 0.12470138553863462]"
rand,K=1,nb2,1,20,8499.24878512603,-4101.98382169834,[32],[1.0]
rand,Non-identical,poisson+nb2,2,20,7949.54540315217,-3809.76265178615,"[24, 10]","[0.8374745919769823, 0.16252540802301765]"
