dataset,parameter,full_data_estimate,bootstrap_mean,bootstrap_se,ci_lower,ci_upper,n_valid
parkinsons,pi_0,0.327814347650418,0.361074125638317,0.141650421524773,0.143986860705478,0.700917269828178,500
parkinsons,pi_1,0.269354467459965,0.285007450170532,0.144698488927349,0.0622453455144401,0.569807626861872,500
parkinsons,pi_2,0.402831184889617,0.353918424191151,0.139851578375336,0.0991019539063762,0.617897104653621,500
parkinsons,intercept_0,2.83474258202135,2.64099298792707,1.95937739000835,-0.16837388526078,5.02961954366537,500
parkinsons,beta_0_1,0.0136671921367407,0.0173502044211057,0.0241825827291018,-0.0105510791856877,0.05222907138171,500
parkinsons,beta_0_2,-0.416204512468343,-0.210309755327339,0.358000287330601,-0.825555111549042,0.381465927773056,500
parkinsons,beta_0_3,0.0009473574158075,0.0007447384900151,0.0006995717656383,-0.000605255968511,0.0019438479739398,500
parkinsons,beta_0_4,5.52574881827492,12.3109984216747,35.9675261460099,-52.4268330837661,102.94569635392,500
parkinsons,beta_0_5,-745.547024421931,-2272.45914873292,4391.16800177301,-13228.9039506452,3641.93856333746,500
parkinsons,beta_0_6,-4.96016934055763,12.6149024777019,40.2265117712749,-47.8322138870242,143.067246442644,500
parkinsons,beta_0_7,-3.99382954241472,-9.93863060698613,25.4667283013792,-72.1618746566124,36.6671114757039,500
parkinsons,beta_0_8,4.16462606911565,4.17782790515015,6.54359884361444,-5.49281527637823,19.1781977600059,500
parkinsons,beta_0_9,-0.115323390916911,-0.114423775442089,0.40986807826059,-1.02703809808701,0.706286418495292,500
parkinsons,beta_0_10,-4.50209057072428,-5.67382107289626,8.18347790719982,-27.551573845193,5.67157672277437,500
parkinsons,beta_0_11,0.525007027077428,-0.931551406580097,6.29197186668194,-15.75213520109,11.4175165902777,500
parkinsons,beta_0_12,0.0702733162847447,0.292744038608045,3.34112019233977,-6.50025278274847,8.63466440482006,500
parkinsons,beta_0_13,-0.22007438025843,-0.328644608858894,1.18988467032743,-2.79511489272792,1.53395709267149,500
parkinsons,beta_0_14,-0.0102882583465011,-0.0103433685780981,0.0185519368944263,-0.0593859030589724,0.0129258772200128,500
parkinsons,beta_0_15,-0.296274409091364,-0.0470987299910055,0.330589278779442,-0.764753496238568,0.624282532439176,500
parkinsons,beta_0_16,0.341975054212919,-0.118420734724949,1.25394182099654,-2.6490879322166,1.85924002408866,500
parkinsons,beta_0_17,0.173099768280587,0.160550778080948,0.495792904476902,-0.761299558693745,1.25943841170695,500
parkinsons,intercept_1,4.33318555391347,2.30070030197287,3.66933890492795,-7.77366220733127,8.44375418141664,500
parkinsons,beta_1_1,-0.0183219712957235,0.0144031497909012,0.0508309721586269,-0.097251256632789,0.15476678841616,500
parkinsons,beta_1_2,0.51538693708696,0.429403870115187,0.76227025844313,-0.458143255691687,1.83837347243131,500
parkinsons,beta_1_3,-4.59041558164331e-05,0.0003357992965089,0.0010922473075938,-0.0018450846463587,0.0023890608120295,500
parkinsons,beta_1_4,18.9745898461958,15.0592595463906,36.2992099802635,-45.7818181228518,101.676499076328,500
parkinsons,beta_1_5,-284.984521761427,-547.702891613172,4054.57869754649,-10910.9915168952,6568.71455120161,500
parkinsons,beta_1_6,-43.2847670038552,-15.5360910180484,53.204081490268,-160.185735194033,56.2108487779355,500
parkinsons,beta_1_7,39.1159592662086,2.25007405421666,35.2271523800078,-52.0791487368254,66.6230451226225,500
parkinsons,beta_1_8,14.5496211498059,2.48809798422167,9.06650678244763,-16.4220282664379,20.7615089387855,500
parkinsons,beta_1_9,0,-0.220778744462908,0.553065259787053,-1.48265920717283,0.879206130451811,500
parkinsons,beta_1_10,-16.2902894173972,-2.01105109309673,8.08157366976403,-19.0892298683733,13.7161028173381,500
parkinsons,beta_1_11,-20.5303016344541,-3.33028684447528,8.20896512630635,-22.0083195503996,9.82126728213066,500
parkinsons,beta_1_12,2.7450981893231,1.88042554278728,4.5075919101712,-5.34802807813338,13.7794762755118,500
parkinsons,beta_1_13,-1.30456107384454,-0.464628612814304,1.58589868214312,-4.17325451445771,2.02705350012626,500
parkinsons,beta_1_14,-0.0088728297820002,-0.0098182617080298,0.0206460978420792,-0.0593945692535183,0.0159156111391653,500
parkinsons,beta_1_15,0.813001760596328,0.200939305779084,0.599527858989262,-0.650540997061308,1.88195886382536,500
parkinsons,beta_1_16,-0.332606826716272,-0.415648286452338,1.21268237843462,-2.85335375732168,2.26607725187664,500
parkinsons,beta_1_17,0,0.183002687502412,0.584130769931475,-0.847969718282618,1.5740540900612,500
parkinsons,intercept_2,2.6170753451021,2.65769780551586,2.25059700978721,-3.21856478053293,7.08719887519147,500
parkinsons,beta_2_1,0.0217156402261657,0.0138792660782224,0.0323736870368423,-0.0700680897603208,0.0766968191688669,500
parkinsons,beta_2_2,-0.0948292211499616,0.0675689878394086,0.476820703728827,-0.628396441266869,1.45418690327489,500
parkinsons,beta_2_3,0.0014656141788793,0.0008834873969589,0.0009494981085491,-0.0014289108111483,0.0024307201051019,500
parkinsons,beta_2_4,74.7488689809383,18.0045312315895,37.274903569184,-39.7999572396647,111.800995596331,500
parkinsons,beta_2_5,-5534.61038515061,-1342.49988558583,3771.57894962011,-9676.53941599672,5189.50738015851,500
parkinsons,beta_2_6,-26.3060395699853,-4.87149944900028,31.5826424848524,-70.0092925968933,63.9096841520581,500
parkinsons,beta_2_7,0,-4.64918109161683,24.0455772678914,-59.8390348946189,44.4484695302348,500
parkinsons,beta_2_8,-5.76651519828649,2.88709507096284,5.80838038893618,-9.50720361790717,15.8152463547029,500
parkinsons,beta_2_9,0,-0.2291852962301,0.44671875197602,-1.26703274471297,0.526586811965908,500
parkinsons,beta_2_10,0,-2.50499989968925,6.45751998018478,-15.0006245709089,9.42202005544314,500
parkinsons,beta_2_11,0,-1.95855091825945,6.22117233208768,-17.8799895140005,9.89862776813534,500
parkinsons,beta_2_12,6.05290630710141,1.32071061812331,3.5175344436511,-4.30626332472194,10.3867871286933,500
parkinsons,beta_2_13,-2.01375050132818,-0.38530720909976,1.21677457630524,-3.56436444431531,1.31552780617759,500
parkinsons,beta_2_14,-0.0179489380801367,-0.0089575230736496,0.0155736859705829,-0.0530581699042868,0.0131532908072519,500
parkinsons,beta_2_15,-0.0324777020807169,0.0764797381143237,0.364197158581231,-0.553716392815957,0.963709262743621,500
parkinsons,beta_2_16,-1.35164328311637,-0.459991498973988,1.07768911665332,-2.77845619151596,1.61774951115483,500
parkinsons,beta_2_17,0.849786592283189,0.184215836318526,0.439790489057423,-0.676593060522465,1.15011575636006,500
parkinsons,extra_0_log_sigma2,-4.57154626801572,-4.90918981896872,1.52578132944205,-8.65463605757354,-2.54803816812994,500
parkinsons,extra_1_log_sigma2,-4.00180826533152,-4.90912266164323,1.76501803675409,-8.44353894240462,-1.98851121399274,500
parkinsons,extra_2_log_sigma,-1.99135152438209,-2.79568902907179,1.05384407026666,-5.67287814428742,-1.48684452169688,500
parkinsons,extra_2_log_nu_m2,-13.9707550100044,-6.80881543156057,9.12869177246994,-18.4206807439524,9.91159872214577,500
rand,pi_0,0.865147801115792,0.82792568285337,0.016019086514055,0.796416629941856,0.864383528779765,500
rand,pi_1,0.134852198884208,0.17207431714663,0.016019086514055,0.135616471220235,0.203583370058144,500
rand,intercept_0,-2.21823684178936,-2.57234560159257,0.317687465094889,-3.30218739430493,-2.20144175595213,500
rand,beta_0_1,-0.101460295586768,-0.111666962686837,0.136705397652718,-0.43642657207067,0.0805253657362582,500
rand,beta_0_2,0,0.0177553113854912,0.0370061944100541,-0.0586664629024314,0.103255156783685,500
rand,beta_0_3,-0.170494683360094,-0.0982331668045928,0.0712171601430687,-0.240419024410745,0,500
rand,beta_0_4,0,0.0089469936273104,0.0454770294649659,-0.0920587723165037,0.119804156638611,500
rand,beta_0_5,0.247450523584165,0.224401596963369,0.0722860709581381,0.0733037865943067,0.371243715703362,500
rand,beta_0_6,0.135365346486143,0.134031010895539,0.0513073669168113,0.0266746254546905,0.229225032923021,500
rand,beta_0_7,0.0985547069150638,0.0536807728335753,0.0536951487365001,0,0.160435605694834,500
rand,beta_0_8,0.519471446377549,0.394226746484702,0.418505648874856,0,1.35421535641588,500
rand,beta_0_9,0,0.0069284108425583,0.0410756093407168,-0.0699743728795105,0.12082262143422,500
rand,beta_0_10,-0.0435856314670173,-0.0319693474015003,0.0367461492751548,-0.107423317074271,0.0015777464655895,500
rand,beta_0_11,0.0526192219035393,0.044057381758222,0.038060214285935,-0.0046764226370735,0.125910513425927,500
rand,beta_0_12,0,0.017462969610404,0.0395548853510219,-0.074970039829042,0.0947860935871673,500
rand,beta_0_13,0,-0.028676864753781,0.0532672460443019,-0.164606390754062,0,500
rand,beta_0_14,0,-0.0062541150956271,0.0372198859043801,-0.11002005956424,0,500
rand,beta_0_15,0,0.0614167509676906,0.0897286114968312,0,0.255242199960562,500
rand,beta_0_16,-0.107376340075758,-0.115087541969724,0.0887772238717437,-0.347884576697548,0,500
rand,beta_0_17,0,0.0188050942589264,0.0668251090017585,0,0.220322602351242,500
rand,beta_0_18,0,-0.0057042044633605,0.0171101421927469,-0.0508972188623418,0.0308486982262946,500
rand,beta_0_19,0,0.0150748430295265,0.0505563829366377,-0.0504624704480287,0.141031912648253,500
rand,beta_0_20,-0.141312761224498,-0.0834370866937106,0.582327504076997,-0.304418914301965,0,500
rand,beta_0_21,0.163150891470283,0.0574601511345629,0.196403875735371,-0.26558967160081,0.541310309998692,500
rand,beta_0_22,-0.400529434879289,-0.274414904088309,0.171088652009894,-0.615953620690228,0,500
rand,beta_0_23,0,-0.0184212708207922,0.0415291684120783,-0.124051317560813,0.0596649917782401,500
rand,beta_0_24,0.0575115964564116,0.0481717466109648,0.0427424373056842,0,0.134274426968746,500
rand,beta_0_25,0.0732412656824723,0.0582718643229984,0.0373678832670019,0,0.125921162315538,500
rand,beta_0_26,0,-0.0023232481909289,0.0411858598862743,-0.100973112795149,0.115950320383906,500
rand,beta_0_27,0,-0.0046994697533807,0.0495834365690519,-0.163660271412778,0.0807992444607865,500
rand,beta_0_28,0,-0.0057043285274279,0.0171102897659686,-0.0508977135412873,0.0308512636264573,500
rand,beta_0_29,0.134001868000079,0.0534636326265958,0.828820366946351,0,0.219479304471986,500
rand,beta_0_30,0,-0.204061509483047,0.435725711291004,-1.48345912014943,0,500
rand,beta_0_31,0,-0.0881043443938539,0.251313360005235,-1.05348883365861,0.0047049220358998,500
rand,beta_0_32,0,-0.0283944824234133,0.228240995144308,-0.133935522110933,0.0820666774871979,500
rand,beta_0_33,0,-0.0666409807026871,0.244930722337957,-0.188856069836629,0.0409400289875427,500
rand,beta_0_34,0.127137505013077,0.0845488962079541,0.0611845719373798,0,0.189483374501215,500
rand,beta_0_35,0,0.0080121388735916,0.0722482645372467,-0.0107155694218203,0.0868958383363105,500
rand,beta_0_36,0,-0.0805690583928482,0.289882211446002,-1.1300768629645,0.0670409114063266,500
rand,beta_0_37,0,-0.0066585260288625,0.0406172845008281,-0.127654694399358,0.0787111908819895,500
rand,beta_0_38,0,0.0525584590282003,0.118131749682526,-0.138750495206589,0.343016264987794,500
rand,beta_0_39,0,-0.0043391096856086,0.536112719515317,-0.383183673423423,0,500
rand,beta_0_40,0,-0.0265725809293524,0.0633417899039939,-0.220103299604093,0,500
rand,beta_0_41,-0.11060210506197,-0.198970895562273,0.440449430533839,-2.05241625702766,0,500
rand,beta_0_42,-0.142250107412455,-0.246696668541845,0.485995858454281,-2.08074542527007,0,500
rand,beta_0_43,0.113764625140393,0.101755132092633,0.0851384554161888,0,0.205042619001168,500
rand,beta_0_44,0,-0.0037957934075153,0.0424332775388425,-0.10517368153132,0.099676431549485,500
rand,beta_0_45,0,-0.162908559940047,0.436189264668218,-1.54747221987376,0.061760218331636,500
rand,beta_0_46,0,-0.0869669141718907,0.102627105113303,-0.280656541594632,0.0762061492442056,500
rand,beta_0_47,0.185691203825229,0.104332199802647,0.0784372479796179,-0.0334213924189025,0.23948938774762,500
