dataset,model_class,log_score,rmse,mae
parkinsons,"Identical, K>1",-1.57652589741882,0.516750092133218,0.439447984268368
parkinsons,K=1,-1.30600174126869,0.536449448570273,0.455031483850144
parkinsons,Non-identical,-1.69797301208082,0.52585201723397,0.448962940029487
rand,"Identical, K>1",-0.659642499574471,3.31458490691391,0.877988731898228
rand,K=1,-0.765171843990812,3.01888226345587,0.870770526729891
rand,Non-identical,-0.661149585865906,3.00697009670856,0.851573881211097
