families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,extras,test_rmse,test_mae,prediction_finite,prediction_max,prediction_q99,prediction_stable,baseline_mean_rmse,baseline_median_mae,rmse_skill,mae_skill,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,split_id,split_seed,n_train,n_test,offset_used,init,task_id,test_loglik_per_obs
poisson+poisson+nb2,3,50.0,True,True,,-3158.8882760751244,6487.010161779968,6357.776552150249,-734.9185636742578,"[0.849080927529652, 0.05072102132652978, 0.10019805114381819]","[{}, {}, {""log_alpha"": 1.7944157660724418}]",2.8401641007627325,0.8630906233592058,True,0.9259742883807727,0.7787694360644362,True,2.8454558104550394,0.4856175972927242,0.0018597054548742387,-0.7773050815515354,"[14, 0, 0]",0.0,14.0,"[[1, 2, 7, 14, 16, 17, 19, 20, 23, 25, 39, 43, 44, 49], [], []]","[[""xage"", ""child"", ""disea"", ""coins"", ""logc"", ""mhi"", ""site_3"", ""plan_16"", ""site_4"", ""female"", ""plan_17"", ""plan_7"", ""plan_2"", ""site_6""], [], []]","[{""xage"": 0.25855891511037965, ""child"": -0.08527326632996221, ""disea"": 0.05408106337513654, ""coins"": -0.03776876789320092, ""logc"": -0.21883906625907534, ""mhi"": -0.0065442722723375755, ""site_3"": 0.12754676108402282, ""plan_16"": -0.006528667848803651, ""site_4"": -0.07418241787553606, ""female"": 0.028774872634283293, ""plan_17"": 0.009239047168301658, ""plan_7"": 0.00640913499905053, ""plan_2"": 0.03392689343807839, ""site_6"": -0.15376429365368435}, {}, {}]","[-1.9350182980211454, -1.5896366270129694, 1.3908453827435048]",4,0.05072102132652978,40.786540031433105,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K3_poisson-poisson-nb2_L50.0_kmeans_glm,-0.6217585141068172
poisson+zinb,2,50.0,True,True,,-3159.012819939794,6487.259249509308,6358.025639879588,-733.7548216195814,"[0.8390940402887315, 0.16090595971126845]","[{}, {""log_alpha"": 2.2347159852593186, ""logit_theta"": -15.425501621636222}]",2.8402416062047697,0.8631811225077204,True,0.9148329317555172,0.76936408828631,True,2.8454558104550394,0.4856175972927242,0.0018324671327212272,-0.7774914404253057,"[15, 0]",0.0,15.0,"[[1, 2, 7, 14, 16, 17, 19, 20, 22, 23, 25, 39, 43, 44, 49], []]","[[""xage"", ""child"", ""disea"", ""coins"", ""logc"", ""mhi"", ""site_3"", ""plan_16"", ""year_3"", ""site_4"", ""female"", ""plan_17"", ""plan_7"", ""plan_2"", ""site_6""], []]","[{""xage"": 0.25715474566295576, ""child"": -0.07509307162204405, ""disea"": 0.050147544896611565, ""coins"": -0.03377036254453155, ""logc"": -0.2083372110880684, ""mhi"": -0.008802455097034976, ""site_3"": 0.12256556537241355, ""plan_16"": -0.00961239576204269, ""year_3"": -0.0007296675895003712, ""site_4"": -0.07572602450493288, ""female"": 0.029756481553623704, ""plan_17"": 0.013965748087050379, ""plan_7"": 0.009985585090566077, ""plan_2"": 0.019940853098399748, ""site_6"": -0.15008324518155514}, {}]","[-1.8956033267350394, 0.9359925371186208]",6,0.16090595971126845,40.740941286087036,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S1_K2_poisson-zinb_L50.0_quantile_glm,-0.6207739607610672
zinb+zinb,2,100.0,False,True,,-3189.926962564614,6489.855771388546,6405.853925129228,-740.7674698288403,"[0.8837155583259776, 0.11628444167402233]","[{""log_alpha"": -11.729320848816664, ""logit_theta"": -13.101285963896276}, {""log_alpha"": 0.5171652364827962, ""logit_theta"": 0.4196197576940203}]",2.8412697436488297,0.8639365493748018,True,0.7513035961815027,0.691533512289044,True,2.8454558104550394,0.4856175972927242,0.001471141035059742,-0.7790470406986336,"[6, 0]",0.0,6.0,"[[1, 2, 7, 16, 19, 49], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.23448911372799744, ""child"": -0.01428554233562837, ""disea"": 0.008884017447737846, ""logc"": -0.15119416007595082, ""site_3"": 0.07214967110655213, ""site_6"": -0.06549232104437588}, {}]","[-1.802460249449537, 2.1467202116729687]",10,0.11628444167402233,42.32923102378845,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_zinb-zinb_L100.0_kmeans_glm,-0.6267068272663623
nb2+zinb,2,50.0,True,True,,-3152.315037808223,6490.787046209138,6348.630075616446,-733.5094062356766,"[0.8842287539808757, 0.11577124601912434]","[{""log_alpha"": -9.129279373124565}, {""log_alpha"": 1.3277923071053135, ""logit_theta"": -0.5341845763427365}]",2.839626618642653,0.8444456564314116,True,0.9120092033626827,0.7618934266533283,True,2.8454558104550394,0.4856175972927242,0.002048596850799167,-0.7389107419894225,"[16, 0]",0.0,16.0,"[[1, 2, 7, 12, 14, 16, 17, 19, 20, 22, 23, 25, 39, 43, 44, 49], []]","[[""xage"", ""child"", ""disea"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""site_3"", ""plan_16"", ""year_3"", ""site_4"", ""female"", ""plan_17"", ""plan_7"", ""plan_2"", ""site_6""], []]","[{""xage"": 0.24765279900007067, ""child"": -0.07961983047292208, ""disea"": 0.051489689848554454, ""fmde"": -0.0004908937077964861, ""coins"": -0.04612391539246649, ""logc"": -0.2065436641313114, ""mhi"": -0.013655839052360352, ""site_3"": 0.12143012483295777, ""plan_16"": -0.012372309529233214, ""year_3"": -0.008820322583134652, ""site_4"": -0.0775329460935443, ""female"": 0.03136203671847855, ""plan_17"": 0.015878892845196065, ""plan_7"": 0.010571619694175936, ""plan_2"": 0.03791870928992505, ""site_6"": -0.15992994385162498}, {}]","[-1.8908564523746494, 1.6387900707396361]",10,0.11577124601912434,45.60591745376587,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_nb2-zinb_L50.0_kmeans_glm,-0.6205663335327213
poisson+nb2+nb2,3,100.0,True,True,,-3199.327911613361,6491.734308523068,6420.655823226722,-741.6996613923991,"[0.8466495629653058, 0.07667521851734713, 0.07667521851734713]","[{}, {""log_alpha"": 2.162724029931474}, {""log_alpha"": 2.162724029931474}]",2.841601774958722,0.8666288125519508,True,0.7250910055920338,0.6767432187624054,True,2.8454558104550394,0.4856175972927242,0.0013544527671652817,-0.784591039087815,"[4, 0, 0]",0.0,4.0,"[[1, 16, 19, 49], [], []]","[[""xage"", ""logc"", ""site_3"", ""site_6""], [], []]","[{""xage"": 0.24953505366403364, ""logc"": -0.13388172346040053, ""site_3"": 0.0675001950251439, ""site_6"": -0.04686193739297265}, {}, {}]","[-1.8495215149840012, 0.9857515442550081, 0.9857515442550081]",4,0.07667521851734713,51.02610397338867,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K3_poisson-nb2-nb2_L100.0_kmeans_glm,-0.6274954834115052
zip+zinb,2,100.0,True,True,,-3196.1332234849706,6493.806612747773,6416.266446969941,-741.758586692815,"[0.8781008970133957, 0.12189910298660417]","[{""logit_theta"": -2.1645842081420956}, {""log_alpha"": 0.9269246855012692, ""logit_theta"": 0.09067978638530251}]",2.841202204731608,0.860940506310368,True,0.7358351383495257,0.686719171473684,True,2.8454558104550394,0.4856175972927242,0.001494876746214846,-0.7728774886042771,"[6, 0]",0.0,6.0,"[[1, 2, 7, 16, 19, 49], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.2389886656047478, ""child"": -0.007308360277773464, ""disea"": 0.003657742985005581, ""logc"": -0.1442172222883072, ""site_3"": 0.06348594630749896, ""site_6"": -0.0605415594063392}, {}]","[-1.6766485558573487, 1.8994848901459416]",8,0.12189910298660417,46.086153984069824,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_zip-zinb_L100.0_kmeans_glm,-0.6275453356115186
nb2+zip,2,100.0,True,True,,-3204.651931710051,6493.920668234962,6429.303863420102,-743.2389462597127,"[0.18033560186601677, 0.8196643981339833]","[{""log_alpha"": 2.454400033262406}, {""logit_theta"": -2.0618346292603067}]",2.8416278558686763,0.8703555043985068,True,0.7319713764602107,0.6905325518759134,True,2.8454558104550394,0.4856175972927242,0.0013452869562402547,-0.7922651675941379,"[0, 5]",0.0,5.0,"[[], [1, 2, 16, 19, 49]]","[[], [""xage"", ""child"", ""logc"", ""site_3"", ""site_6""]]","[{}, {""xage"": 0.2404302957954889, ""child"": -0.0023810743925293675, ""logc"": -0.13753436675343025, ""site_3"": 0.056801930688327944, ""site_6"": -0.05337806463790514}]","[0.8121140495257966, -1.624154750846596]",8,0.18033560186601677,27.94848608970642,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_nb2-zip_L100.0_kmeans_glm,-0.6287977548728534
nb2+zip,2,50.0,True,True,,-3158.5831736648165,6494.861637440838,6359.166347329633,-734.2127185352925,"[0.17906041355109015, 0.8209395864489099]","[{""log_alpha"": 2.4642205809909137}, {""logit_theta"": -14.235858539885465}]",2.840182391104583,0.8628289345967391,True,0.9225815547583884,0.77688649889809,True,2.8454558104550394,0.4856175972927242,0.0018532775420656566,-0.7767662032985116,"[0, 16]",0.0,16.0,"[[], [1, 2, 7, 12, 14, 16, 17, 19, 20, 22, 23, 25, 39, 43, 44, 49]]","[[], [""xage"", ""child"", ""disea"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""site_3"", ""plan_16"", ""year_3"", ""site_4"", ""female"", ""plan_17"", ""plan_7"", ""plan_2"", ""site_6""]]","[{}, {""xage"": 0.2513596261923505, ""child"": -0.0781893834022299, ""disea"": 0.051610986634715195, ""fmde"": -0.0008714429586139316, ""coins"": -0.03993589552086299, ""logc"": -0.20553940753701014, ""mhi"": -0.009857237199915407, ""site_3"": 0.12044547502001562, ""plan_16"": -0.009961336640975814, ""year_3"": -0.004429393048336123, ""site_4"": -0.07498851124209521, ""female"": 0.029430809618404476, ""plan_17"": 0.012769972948219058, ""plan_7"": 0.008073104780259913, ""plan_2"": 0.033939002231533635, ""site_6"": -0.1544144887771475}]","[0.8171501613029022, -1.8408921625363215]",8,0.17906041355109015,40.9827823638916,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_nb2-zip_L50.0_kmeans_glm,-0.6211613523987246
poisson+poisson+zinb,3,50.0,True,True,,-3171.4084827018496,6495.127214070447,6378.816965403699,-736.3412701391683,"[0.8092620410099849, 0.058025660139738956, 0.1327122988502762]","[{}, {}, {""log_alpha"": 2.0109863949877465, ""logit_theta"": -17.555912143321585}]",2.840454351106245,0.8644524053739495,True,0.8953004096627764,0.7466798554899731,True,2.8454558104550394,0.4856175972927242,0.0017577005871669549,-0.7801093086271922,"[11, 0, 0]",0.0,11.0,"[[1, 2, 7, 14, 16, 19, 20, 23, 25, 43, 49], [], []]","[[""xage"", ""child"", ""disea"", ""coins"", ""logc"", ""site_3"", ""plan_16"", ""site_4"", ""female"", ""plan_7"", ""site_6""], [], []]","[{""xage"": 0.29658771977403775, ""child"": -0.06653161412588764, ""disea"": 0.046028804621423294, ""coins"": -0.011180177174122202, ""logc"": -0.22285656141292828, ""site_3"": 0.1408044128784504, ""plan_16"": -0.0009763482582646718, ""site_4"": -0.062912432731661, ""female"": 0.02105712591856997, ""plan_7"": 0.00219676079127183, ""site_6"": -0.12919960992335755}, {}, {}]","[-2.0261417978923144, -0.9663235410028203, 1.1254058020361442]",6,0.058025660139738956,36.25054907798767,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S1_K3_poisson-poisson-zinb_L50.0_quantile_glm,-0.6229621574781458
zinb+zinb,2,100.0,False,True,,-3202.5183885326283,6498.115262361603,6427.0367770652565,-741.8726056295857,"[0.7898794500435329, 0.2101205499564671]","[{""log_alpha"": -9.365234267852074, ""logit_theta"": -7.541844020666127}, {""log_alpha"": 2.53532211273811, ""logit_theta"": -20.18847238539844}]",2.8416629509976685,0.8670979034146942,True,0.718352928221637,0.6753044079482646,True,2.8454558104550394,0.4856175972927242,0.0013329532103203423,-0.7855570066832205,"[4, 0]",0.0,4.0,"[[1, 16, 19, 49], []]","[[""xage"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.2462406622991655, ""logc"": -0.13193793263873108, ""site_3"": 0.062122127659126225, ""site_6"": -0.04654701265057634}, {}]","[-1.7807214702731877, 0.6728525615110051]",9,0.2101205499564671,30.33387780189514,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S1_K2_zinb-zinb_L100.0_quantile_glm,-0.6276417983329828
