dataset,families,K,nonidentical,splits_observed,bic_wins,mean_delta_bic,median_delta_bic,mean_test_loglik_per_obs,mean_test_rmse,mean_test_mae,finite_prediction_rate,stable_prediction_rate
bird_counts,zinb+zinb+zinb,3,False,3,1,29.66643516997283,21.998889062204398,-2.5269275246864074,2897.564239199551,302.6116691035725,1.0,1.0
bird_counts,nb2+nb2+zinb,3,True,3,1,133.76040816924797,44.55639816449548,-2.516603220393518,8.770699363332402e+30,5.6584384987099106e+29,1.0,0.6666666666666666
bird_counts,nb2+nb2+nb2,3,False,3,1,143.35676959251091,37.24648721367703,-2.5170136059898893,1.712837029348948e+49,1.1025265532388181e+48,1.0,0.6666666666666666
bird_counts,nb2+zinb+zinb,3,True,3,0,166.37219987490244,109.1040428798442,-2.5293607546233856,403764198027392.75,26277314346602.87,1.0,0.6666666666666666
bird_counts,nb2+nb2,2,False,3,0,542.5242725075854,513.7853522115547,-2.5634243156142635,inf,3.488912746819254e+203,1.0,0.0
bird_counts,nb2+zinb,2,True,3,0,600.3197783038364,525.7410100769412,-2.566357612753304,2.6458260403171943e+131,1.7843444588327823e+130,1.0,0.0
bird_counts,zinb+zinb,2,False,3,0,869.4677211616121,632.925055634747,-2.5760656839468243,inf,1.0036840527533384e+207,1.0,0.0
bird_counts,nb2+nb2+zip,3,True,3,0,1107.1107082325204,1132.844426944117,-2.571848262571169,inf,1.566507212030187e+181,1.0,0.0
bird_counts,poisson+nb2+nb2,3,True,3,0,1232.025832209508,1284.1174269809853,-2.577915691919714,inf,1.020673020721901e+250,1.0,0.3333333333333333
bird_counts,nb2+zip+zinb,3,True,3,0,1404.585588108205,1565.3415111874492,-2.585007248358696,1676.9078700963612,197.31198516309382,1.0,1.0
bird_counts,zip+zinb+zinb,3,True,3,0,1425.6988101547006,1377.5515711509724,-2.584867538283897,inf,7.702681611815659e+300,1.0,0.6666666666666666
bird_counts,poisson+zinb+zinb,3,True,3,0,1501.6929066500404,1514.0927058701855,-2.5859974700280226,inf,7.771738659301905e+300,1.0,0.3333333333333333
bird_counts,poisson+nb2+zinb,3,True,3,0,1638.200367804134,1650.589187205267,-2.6090943166973206,inf,2.1197769949592297e+224,1.0,0.6666666666666666
bird_counts,zip+zip+zinb,3,True,3,0,2253.3370063612406,2271.469934776258,-2.631426803494793,1598.6622370537928,185.18752967791636,1.0,1.0
bird_counts,poisson+nb2+zip,3,True,3,0,2339.696082319819,2309.0612183100384,-2.630061366649579,1617.3318773472165,188.41967033742048,1.0,1.0
bird_counts,poisson+poisson+zinb,3,True,3,0,2347.762325259253,2362.6948953506217,-2.6383030631080566,1618.3240452755654,188.89655184969538,1.0,1.0
bird_counts,poisson+poisson+nb2,3,True,3,0,2380.8102357901057,2433.2122499062098,-2.629294682416744,1603.9551545568459,186.9446356089076,1.0,1.0
bird_counts,nb2+zip+zip,3,True,3,0,2403.696828188406,2389.412458828687,-2.6247285716593667,1612.6626600273446,189.03016333324953,1.0,1.0
bird_counts,poisson+zip+zinb,3,True,3,0,2415.170410898793,2375.0349658422056,-2.644987038723116,1634.156720744307,190.54572413501538,1.0,1.0
bird_counts,poisson+nb2,2,True,3,0,2452.2431463831817,2414.6349844484357,-2.6456281088810427,1614.461240284517,185.85322851476496,1.0,1.0
bird_counts,nb2+zip,2,True,3,0,2476.722754281931,2523.075596305891,-2.6561476592321216,1614.3499789189493,186.36642284229183,1.0,1.0
bird_counts,zip+zinb,2,True,3,0,2508.441236167324,2529.6979732734326,-2.6577860529840955,1602.4953966407245,187.10422880654343,1.0,1.0
bird_counts,poisson+zinb,2,True,3,0,2513.2665827263263,2465.6188623346825,-2.657644565532408,1629.4986577358966,190.35387686154715,1.0,1.0
bird_counts,nb2,1,False,3,0,3232.0728854006907,3301.57663219962,-2.700670115488109,1656.335979187095,195.1295125714805,1.0,1.0
bird_counts,zinb,1,False,3,0,3241.462131344437,3310.967957624729,-2.700665193942981,1656.676372018747,195.220497818516,1.0,1.0
bird_counts,poisson+zip+zip,3,True,3,0,333051.06775861705,326938.5912062733,-22.200747296562366,2462.658974613573,354.821228130013,1.0,1.0
bird_counts,poisson+poisson+zip,3,True,3,0,334733.8872105536,334735.0227917726,-23.367171731320173,1996.110691827873,286.41703042198316,1.0,1.0
bird_counts,poisson+poisson+poisson,3,False,3,0,347702.46856563527,363995.74164131656,-22.186262109288787,4545.193148680526,635.2450758670028,1.0,1.0
bird_counts,zip+zip+zip,3,False,3,0,352763.0686499493,336181.7188775657,-23.05327764563766,2772.655963707161,399.7591713593975,1.0,1.0
bird_counts,zip+zip,2,False,3,0,779807.1034165681,799010.66593938,-44.85210402719417,1669.5224331527352,222.43269342256804,1.0,1.0
bird_counts,poisson+zip,2,True,3,0,814664.3076115354,806772.8547626338,-46.720652614103635,1805.4515119071493,236.3141669253795,1.0,1.0
bird_counts,poisson+poisson,2,False,3,0,888920.571808097,902542.2913168902,-48.19868304075757,3311.964339655451,345.9999976879305,1.0,1.0
bird_counts,zip,1,False,3,0,2708935.632767782,2713253.136870939,-116.32441283252054,1720.662002355487,185.12156480049973,1.0,1.0
bird_counts,poisson,1,False,3,0,2954024.2698962665,2944535.833390622,-127.51195737858218,1558.459113642092,186.87626528942192,1.0,1.0
randhealth_notmdvis_baseline,poisson+nb2,2,True,3,3,0.0,0.0,-0.6507352361834137,2.5912313763080417,0.8396314757995628,1.0,1.0
randhealth_notmdvis_baseline,poisson+zinb,2,True,3,0,4.8127016656038295,5.109016834903741,-0.6500561928829006,2.5910806753610705,0.8386950405407094,1.0,1.0
randhealth_notmdvis_baseline,nb2+nb2,2,False,3,0,9.765057832658385,11.316980000932745,-0.650341027899472,2.5908866375375106,0.8389737920564632,1.0,1.0
randhealth_notmdvis_baseline,poisson+poisson+nb2,3,True,3,0,14.353183252898816,14.474841417120842,-0.6472334853156759,2.590306689406234,0.8375334507120886,1.0,1.0
randhealth_notmdvis_baseline,nb2+zinb,2,True,3,0,16.8260096007607,18.721263359366276,-0.6482125021377697,2.5898940038751936,0.8278376038489775,1.0,1.0
randhealth_notmdvis_baseline,nb2+zip,2,True,3,0,20.4894821891027,21.854885385190755,-0.6516774635991579,2.5911482207025944,0.84251724129618,1.0,1.0
randhealth_notmdvis_baseline,zinb+zinb,2,False,3,0,21.74798953100829,21.54665054893485,-0.6502725363948073,2.591003907687418,0.8383610278710227,1.0,1.0
randhealth_notmdvis_baseline,poisson+nb2+nb2,3,True,3,0,22.964222793700475,23.832991571407547,-0.650659679045989,2.591154084665542,0.8395905624712651,1.0,1.0
