families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,extras,test_rmse,test_mae,prediction_finite,prediction_max,prediction_q99,prediction_stable,baseline_mean_rmse,baseline_median_mae,rmse_skill,mae_skill,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,split_id,split_seed,n_train,n_test,offset_used,init,task_id,test_loglik_per_obs
poisson+nb2,2,100.0,True,True,,-3138.4040641355095,6352.963252604393,6294.808128271019,-806.9685288388775,"[0.835753676379107, 0.16424632362089292]","[{}, {""log_alpha"": 2.415301144630471}]",1.9263533967703537,0.8079302915733155,True,0.6996704701332446,0.6534674080904183,True,1.9292564597684514,0.4560067681895093,0.0015047574330507851,-0.7717506579585509,"[5, 0]",0.0,5.0,"[[1, 2, 13, 22, 47], []]","[[""xage"", ""child"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.19094497872547905, ""child"": -0.03925473701267422, ""logc"": -0.12154649117048735, ""site_3"": 0.06053047502912901, ""site_6"": -0.05878677307680773}, {}]","[-1.8463441800375462, 0.9412307584959209]",4,0.16424632362089292,34.45709562301636,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S2_K2_poisson-nb2_L100.0_kmeans_glm,-0.6827144914034498
poisson+zinb,2,100.0,True,True,,-3134.721536230423,6354.059877275707,6289.443072460846,-805.0092024012556,"[0.8391531298527998, 0.16084687014720023]","[{}, {""log_alpha"": 0.8288800377321092, ""logit_theta"": 0.6840213078620926}]",1.9260877318616154,0.8052788156954223,True,0.7010979654305369,0.6531682687151968,True,1.9292564597684514,0.4560067681895093,0.0016424606955657284,-0.7659361041780874,"[5, 0]",0.0,5.0,"[[1, 2, 13, 22, 47], []]","[[""xage"", ""child"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.18738035654900578, ""child"": -0.04441634068103585, ""logc"": -0.12361202490578826, ""site_3"": 0.06071873967289269, ""site_6"": -0.06349658990365523}, {}]","[-1.8194690328856493, 2.0352528537391845]",4,0.16084687014720023,33.340675830841064,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S2_K2_poisson-zinb_L100.0_kmeans_glm,-0.6810568548233973
nb2+nb2,2,100.0,False,True,,-3135.9084904299266,6356.433785674713,6291.816980859853,-806.3799312862029,"[0.8811204929860404, 0.1188795070139595]","[{""log_alpha"": -8.411781762834611}, {""log_alpha"": 2.0401287572018862}]",1.926303567771001,0.8077696354404443,True,0.705542262457629,0.6561338568028668,True,1.9292564597684514,0.4560067681895093,0.0015305855178034955,-0.7713983471068742,"[5, 0]",0.0,5.0,"[[1, 2, 13, 22, 47], []]","[[""xage"", ""child"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.18838817171865216, ""child"": -0.04497032505244496, ""logc"": -0.12471169083291787, ""site_3"": 0.06459813776695958, ""site_6"": -0.06153542600385246}, {}]","[-1.88885507404355, 1.2608531251555417]",12,0.1188795070139595,33.63827037811279,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S2_K2_nb2-nb2_L100.0_kmeans_glm,-0.6822165239307977
poisson+nb2,2,50.0,True,True,,-3104.8897136811747,6362.089676029097,6245.779427362349,-797.2119655262176,"[0.8359781951621571, 0.16402180483784282]","[{}, {""log_alpha"": 2.2752898809369033}]",1.9243935553971352,0.8029246508747582,True,0.8675597048643128,0.7261321229566623,True,1.9292564597684514,0.4560067681895093,0.0025206106459790822,-0.7607735386529948,"[14, 0]",0.0,14.0,"[[1, 2, 12, 13, 15, 18, 22, 23, 24, 26, 27, 32, 45, 47], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""coins"", ""mhi"", ""site_3"", ""hlthf"", ""plan_15"", ""female"", ""site_4"", ""hlthp"", ""plan_7"", ""site_6""], []]","[{""xage"": 0.2065337049661407, ""child"": -0.11378738184830764, ""disea"": 0.03704152908663654, ""logc"": -0.20297940759750016, ""coins"": -0.016457022355243742, ""mhi"": -0.006513782454406722, ""site_3"": 0.1321127577144092, ""hlthf"": 0.017739594291154823, ""plan_15"": -0.005902966626639691, ""female"": 0.019212532883971466, ""site_4"": -0.018315223674887124, ""hlthp"": 0.008716036043216496, ""plan_7"": 0.015103413451932645, ""site_6"": -0.14490039670775973}, {}]","[-1.9458996080549669, 0.9549282458983086]",6,0.16402180483784282,41.3594286441803,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S2_K2_poisson-nb2_L50.0_quantile_glm,-0.6744602077209962
nb2+zinb,2,100.0,True,True,,-3134.6478299199507,6362.3741451362475,6291.295659839901,-805.2827614170096,"[0.8806695399626128, 0.11933046003738727]","[{""log_alpha"": -27.631021115928547}, {""log_alpha"": 1.4792238593370688, ""logit_theta"": -0.8068865536847711}]",1.9256934048372252,0.7995800419391443,True,0.6876157576934849,0.6405212594965015,True,1.9292564597684514,0.4560067681895093,0.0018468539592988442,-0.753438978797901,"[5, 0]",0.0,5.0,"[[1, 2, 13, 22, 47], []]","[[""xage"", ""child"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.1831329639724839, ""child"": -0.04732263532397225, ""logc"": -0.12208369463727141, ""site_3"": 0.061049498379185885, ""site_6"": -0.0601438672150023}, {}]","[-1.881923864671874, 1.59302422151772]",11,0.11933046003738727,33.57194447517395,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S2_K2_nb2-zinb_L100.0_kmeans_glm,-0.6812882922309726
poisson+nb2,2,100.0,True,True,,-3143.263789382946,6362.682703099266,6304.527578765892,-807.6396386200356,"[0.8331869440649118, 0.16681305593508816]","[{}, {""log_alpha"": 2.2387021315468685}]",1.9265108848091574,0.8087564656991142,True,0.6837993555659715,0.6448096645284732,True,1.9292564597684514,0.4560067681895093,0.0014231259640947735,-0.7735624164310817,"[5, 0]",0.0,5.0,"[[1, 2, 13, 22, 47], []]","[[""xage"", ""child"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.2108606921196019, ""child"": -0.01162313617108895, ""logc"": -0.10441756408467084, ""site_3"": 0.05285054352756205, ""site_6"": -0.04578517352518803}, {}]","[-1.9029122431034429, 0.9457024887994919]",5,0.16681305593508816,17.1371169090271,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S2_K2_poisson-nb2_L100.0_quantile_glm,-0.6832822661760031
poisson+nb2,2,50.0,True,True,,-3102.8209657105986,6366.413860569431,6243.641931421197,-797.3802757318658,"[0.8375429564041114, 0.16245704359588853]","[{}, {""log_alpha"": 2.4204319454358534}]",1.9239866719617724,0.8019331268503946,True,0.9002823556522384,0.7338771396811302,True,1.9292564597684514,0.4560067681895093,0.002731512329527952,-0.7585991761357449,"[15, 0]",0.0,15.0,"[[1, 2, 12, 13, 14, 15, 18, 22, 23, 24, 26, 27, 32, 45, 47], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""black"", ""coins"", ""mhi"", ""site_3"", ""hlthf"", ""plan_15"", ""female"", ""site_4"", ""hlthp"", ""plan_7"", ""site_6""], []]","[{""xage"": 0.18782752999417324, ""child"": -0.12769473249307087, ""disea"": 0.037678360725505185, ""logc"": -0.2047454025162383, ""black"": -0.0012422097847492918, ""coins"": -0.019698579170148587, ""mhi"": -0.010500059790022168, ""site_3"": 0.13212365203884932, ""hlthf"": 0.02691598414419764, ""plan_15"": -0.009837827213917922, ""female"": 0.021873998714936317, ""site_4"": -0.017533347914794377, ""hlthp"": 0.01830909816085348, ""plan_7"": 0.013355325144153657, ""site_6"": -0.15389441363800735}, {}]","[-1.9016504645122223, 0.9480646174391513]",4,0.16245704359588853,48.279456615448,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S2_K2_poisson-nb2_L50.0_kmeans_glm,-0.6746026021420185
poisson+poisson+nb2,3,50.0,True,True,,-3116.025603158869,6367.438094021514,6264.051206317738,-800.5572183772156,"[0.8124609807367918, 0.05740004290111552, 0.1301389763620926]","[{}, {}, {""log_alpha"": 2.019537106848674}]",1.92521215669826,0.8047215347260781,True,0.8156973552722785,0.7076650905502697,True,1.9292564597684514,0.4560067681895093,0.0020963014272745717,-0.76471401492806,"[10, 0, 0]",0.0,10.0,"[[1, 2, 12, 13, 22, 23, 26, 27, 45, 47], [], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""site_3"", ""hlthf"", ""female"", ""site_4"", ""plan_7"", ""site_6""], [], []]","[{""xage"": 0.24858035480380578, ""child"": -0.1050164813800852, ""disea"": 0.032625520457295255, ""logc"": -0.21282063073225477, ""site_3"": 0.15168586735716325, ""hlthf"": 0.0023185215406169644, ""female"": 0.007065202116516804, ""site_4"": -0.0007778263351260521, ""plan_7"": 0.007702060802566463, ""site_6"": -0.11906174979721208}, {}, {}]","[-2.088893813527499, -0.9560498044949446, 1.1814141919138512]",6,0.05740004290111552,28.921238660812378,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S2_K3_poisson-poisson-nb2_L50.0_quantile_glm,-0.677290370877509
poisson+zinb,2,50.0,True,True,,-3099.4974646413552,6368.22853891243,6238.9949292827105,-795.5403914160817,"[0.8403620173529173, 0.15963798264708276]","[{}, {""log_alpha"": 1.0024442131096145, ""logit_theta"": 0.5338543485715351}]",1.9233698102507488,0.7955518897527798,True,0.8975199622935806,0.7273770808698526,True,1.9292564597684514,0.4560067681895093,0.0030512529777451114,-0.7446054428344819,"[15, 0]",0.0,15.0,"[[1, 2, 12, 13, 14, 15, 18, 22, 23, 24, 26, 27, 32, 45, 47], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""black"", ""coins"", ""mhi"", ""site_3"", ""hlthf"", ""plan_15"", ""female"", ""site_4"", ""hlthp"", ""plan_7"", ""site_6""], []]","[{""xage"": 0.18505285210329359, ""child"": -0.12650418624046147, ""disea"": 0.03806012706041585, ""logc"": -0.20214792226923625, ""black"": -0.0034905733313420444, ""coins"": -0.021747968388179783, ""mhi"": -0.011410287684855497, ""site_3"": 0.12913339425404097, ""hlthf"": 0.027937510822423402, ""plan_15"": -0.012588125496302978, ""female"": 0.022683785696116045, ""site_4"": -0.02029507009374451, ""hlthp"": 0.018499490404010558, ""plan_7"": 0.013464099383503124, ""site_6"": -0.1552251216123193}, {}]","[-1.8812094439921192, 1.9301531249801545]",4,0.15963798264708276,57.73090410232544,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S2_K2_poisson-zinb_L50.0_kmeans_glm,-0.673046016426465
poisson+zinb,2,50.0,True,True,,-3105.1056444238284,6370.98321799589,6248.211288847657,-797.2304719512221,"[0.8381181621601642, 0.16188183783983578]","[{}, {""log_alpha"": 2.245835581046052, ""logit_theta"": -15.655719879226849}]",1.9244062218786295,0.8027274499249446,True,0.8644373807769966,0.7248207508894345,True,1.9292564597684514,0.4560067681895093,0.0025140451728247193,-0.7603410868483942,"[14, 0]",0.0,14.0,"[[1, 2, 12, 13, 15, 18, 22, 23, 24, 26, 27, 32, 45, 47], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""coins"", ""mhi"", ""site_3"", ""hlthf"", ""plan_15"", ""female"", ""site_4"", ""hlthp"", ""plan_7"", ""site_6""], []]","[{""xage"": 0.2082208760285543, ""child"": -0.11312240685561956, ""disea"": 0.036983779424104614, ""logc"": -0.2026318496487829, ""coins"": -0.015561749719115718, ""mhi"": -0.006097732718914536, ""site_3"": 0.13285327047585044, ""hlthf"": 0.01689801375317301, ""plan_15"": -0.005333878100920019, ""female"": 0.019030892111263853, ""site_4"": -0.017801583986321055, ""hlthp"": 0.00794510382345731, ""plan_7"": 0.01581836458474536, ""site_6"": -0.14385736895798457}, {}]","[-1.9540153935986364, 0.968804849653129]",6,0.16188183783983578,62.97482490539551,randhealth_notmdvis_baseline,2,20262630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S2_K2_poisson-zinb_L50.0_quantile_glm,-0.6744758645949425
