families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,extras,test_rmse,test_mae,prediction_finite,prediction_max,prediction_q99,prediction_stable,baseline_mean_rmse,baseline_median_mae,rmse_skill,mae_skill,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,seed,task_id,n,p
poisson+poisson+zinb,3,100.0,True,True,,-3928.7809948486465,7970.4636027114575,7883.561989697293,-3928.7809948486465,"[0.8561099723400747, 0.05013687774534758, 0.0937531499145778]","[{}, {}, {""log_alpha"": 0.03897962894276639, ""logit_theta"": 0.4659232747687228}]",3.1348619126523194,0.8824788885047782,True,0.8460564136992986,0.6977946973292839,True,3.1403712262975643,0.5373815967523681,0.0017543510777037197,-0.6421829363677207,"[6, 0, 0]",0.0,6.0,"[[1, 2, 4, 9, 16, 21], [], []]","[[""xage"", ""child"", ""disea"", ""black"", ""logc"", ""site_3""], [], []]","[{""xage"": 0.2153486394800046, ""child"": -0.05773296914506881, ""disea"": 0.05261649991812806, ""black"": -0.017958137646090333, ""logc"": -0.18188650286720767, ""site_3"": 0.10451478609349357}, {}, {}]","[-1.8424754439626854, -1.689887724248876, 2.363523764955756]",3,0.05013687774534758,40.14982509613037,randhealth_notmdvis_baseline,kmeans_glm,20261050,randhealth_notmdvis_baseline_K3_poisson-poisson-zinb_L100.0_kmeans_glm,5912,51
poisson+nb2+zinb,3,100.0,True,True,,-3925.3796418538377,7972.345636184468,7878.759283707675,-3925.3796418538377,"[0.844879734142373, 0.07381476894121894, 0.08130549691640802]","[{}, {""log_alpha"": 2.7259296213865185}, {""log_alpha"": 0.07145611523418924, ""logit_theta"": 0.7958810414710694}]",3.1348918631912426,0.8813086879938661,True,0.8389676220044401,0.6937075211458031,True,3.1403712262975643,0.5373815967523681,0.0017448138170536032,-0.6400053394459353,"[6, 0, 0]",0.0,6.0,"[[1, 2, 4, 9, 16, 21], [], []]","[[""xage"", ""child"", ""disea"", ""black"", ""logc"", ""site_3""], [], []]","[{""xage"": 0.20837236760589217, ""child"": -0.0573205071839924, ""disea"": 0.05214315494743316, ""black"": -0.01851074458342583, ""logc"": -0.17626885590167787, ""site_3"": 0.10205419143069605}, {}, {}]","[-1.8052932328737277, 0.7170494496641899, 2.239722258336106]",3,0.07381476894121894,40.81321954727173,randhealth_notmdvis_baseline,kmeans_glm,20261110,randhealth_notmdvis_baseline_K3_poisson-nb2-zinb_L100.0_kmeans_glm,5912,51
poisson+zip+zinb,3,100.0,True,True,,-3926.5775715775417,7974.741495631876,7881.155143155083,-3926.5775715775417,"[0.8473178163874377, 0.0629047116356067, 0.08977747197695557]","[{}, {""logit_theta"": 2.551218222040955}, {""log_alpha"": -0.03279522253940051, ""logit_theta"": 0.5207273143222585}]",3.134790159465269,0.8820355536277777,True,0.8459914763996845,0.6976965157508367,True,3.1403712262975643,0.5373815967523681,0.0017771997098811054,-0.6413579455610394,"[6, 0, 0]",0.0,6.0,"[[1, 2, 4, 9, 16, 21], [], []]","[[""xage"", ""child"", ""disea"", ""black"", ""logc"", ""site_3""], [], []]","[{""xage"": 0.2051758621527635, ""child"": -0.058555041221630466, ""disea"": 0.0528714574445579, ""black"": -0.020861679909419673, ""logc"": -0.17608555525405747, ""site_3"": 0.10163038725487805}, {}, {}]","[-1.7869137867227187, 0.7469159605611309, 2.4225670950500104]",3,0.0629047116356067,35.23444485664368,randhealth_notmdvis_baseline,kmeans_glm,20261150,randhealth_notmdvis_baseline_K3_poisson-zip-zinb_L100.0_kmeans_glm,5912,51
poisson+poisson+nb2,3,50.0,True,True,,-3892.1159054949458,7975.296079167709,7828.2318109898915,-3892.1159054949458,"[0.8493966439188169, 0.05000185281091998, 0.10060150327026333]","[{}, {}, {""log_alpha"": 1.7891263197009477}]",3.1325259933665173,0.8786676345916014,True,1.1166203684013931,0.7840350900183891,True,3.1403712262975643,0.5373815967523681,0.002498186477238984,-0.6350906690920828,"[16, 0, 0]",0.0,16.0,"[[1, 2, 4, 9, 12, 15, 16, 17, 20, 21, 22, 23, 27, 42, 43, 46], [], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""plan_16"", ""site_3"", ""female"", ""site_4"", ""hlthp"", ""plan_2"", ""plan_17"", ""plan_7""], [], []]","[{""xage"": 0.24257388130799828, ""child"": -0.10395914294476347, ""disea"": 0.06769520601187595, ""black"": -0.08102577782471787, ""fmde"": -0.06460868763461852, ""coins"": -0.03335517736151525, ""logc"": -0.1818269328438296, ""mhi"": -0.007184550161356857, ""plan_16"": -0.005963283066485551, ""site_3"": 0.15814035572449506, ""female"": 0.05810146283537537, ""site_4"": -0.05179839680919261, ""hlthp"": 0.01875915366510558, ""plan_2"": 0.04743084415592529, ""plan_17"": 0.02758337141909531, ""plan_7"": 0.05582785735457224}, {}, {}]","[-1.9738617122589825, -1.6725264383821479, 1.3678104305383463]",4,0.05000185281091998,67.88721966743469,randhealth_notmdvis_baseline,kmeans_glm,20261009,randhealth_notmdvis_baseline_K3_poisson-poisson-nb2_L50.0_kmeans_glm,5912,51
poisson+nb2,2,50.0,True,True,,-3892.2844939553065,7975.63325608843,7828.568987910613,-3892.2844939553065,"[0.8335756038720753, 0.16642439612792467]","[{}, {""log_alpha"": 2.2281802074214356}]",3.1320668825427718,0.8730459316344015,True,1.0416079462247503,0.7756860595379772,True,3.1403712262975643,0.5373815967523681,0.002644382831319958,-0.6246293823804159,"[16, 2]",1.0,16.0,"[[1, 2, 4, 9, 12, 15, 16, 17, 20, 21, 22, 23, 27, 42, 43, 46], [1, 3]]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""plan_16"", ""site_3"", ""female"", ""site_4"", ""hlthp"", ""plan_2"", ""plan_17"", ""plan_7""], [""xage"", ""physlm""]]","[{""xage"": 0.24210585541828056, ""child"": -0.09216976448831177, ""disea"": 0.06541339831241866, ""black"": -0.07382574520402674, ""fmde"": -0.050457621763905, ""coins"": -0.02990668292726384, ""logc"": -0.18270043825010576, ""mhi"": -0.0066612640701654855, ""plan_16"": -0.010582718400552636, ""site_3"": 0.1522058510109381, ""female"": 0.056295725275217326, ""site_4"": -0.053264913464974736, ""hlthp"": 0.0027555785431536135, ""plan_2"": 0.04023168999917138, ""plan_17"": 0.030787062963191836, ""plan_7"": 0.05657060467722563}, {""xage"": 0.005715498457689927, ""physlm"": 0.024792740372503667}]","[-1.9419435011771946, 0.8669199542927045]",6,0.16642439612792467,61.754870653152466,randhealth_notmdvis_baseline,kmeans_glm,20260809,randhealth_notmdvis_baseline_K2_poisson-nb2_L50.0_kmeans_glm,5912,51
poisson+nb2,2,50.0,True,True,,-3892.2844939553065,7975.63325608843,7828.568987910613,-3892.2844939553065,"[0.8335756038720753, 0.16642439612792467]","[{}, {""log_alpha"": 2.2281802074214356}]",3.1320668825427718,0.8730459316344015,True,1.0416079462247503,0.7756860595379772,True,3.1403712262975643,0.5373815967523681,0.002644382831319958,-0.6246293823804159,"[16, 2]",1.0,16.0,"[[1, 2, 4, 9, 12, 15, 16, 17, 20, 21, 22, 23, 27, 42, 43, 46], [1, 3]]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""plan_16"", ""site_3"", ""female"", ""site_4"", ""hlthp"", ""plan_2"", ""plan_17"", ""plan_7""], [""xage"", ""physlm""]]","[{""xage"": 0.24210585541828056, ""child"": -0.09216976448831177, ""disea"": 0.06541339831241866, ""black"": -0.07382574520402674, ""fmde"": -0.050457621763905, ""coins"": -0.02990668292726384, ""logc"": -0.18270043825010576, ""mhi"": -0.0066612640701654855, ""plan_16"": -0.010582718400552636, ""site_3"": 0.1522058510109381, ""female"": 0.056295725275217326, ""site_4"": -0.053264913464974736, ""hlthp"": 0.0027555785431536135, ""plan_2"": 0.04023168999917138, ""plan_17"": 0.030787062963191836, ""plan_7"": 0.05657060467722563}, {""xage"": 0.005715498457689927, ""physlm"": 0.024792740372503667}]","[-1.9419435011771946, 0.8669199542927045]",6,0.16642439612792467,52.780484437942505,randhealth_notmdvis_baseline,quantile_glm,20260819,randhealth_notmdvis_baseline_K2_poisson-nb2_L50.0_quantile_glm,5912,51
zinb+zinb,2,50.0,False,True,,-3889.041753501456,7977.832514643356,7824.083507002912,-3889.041753501456,"[0.8839854680903367, 0.11601453190966324]","[{""log_alpha"": -29.33861714951446, ""logit_theta"": -14.555863921304665}, {""log_alpha"": 1.9824200607307683, ""logit_theta"": -13.823279858034187}]",3.132197329821343,0.8779783648136907,True,1.1481852733487823,0.7948425981583246,True,3.1403712262975643,0.5373815967523681,0.002602844022952744,-0.6338080241669939,"[16, 0]",0.0,16.0,"[[1, 2, 4, 9, 12, 15, 16, 17, 20, 21, 22, 23, 27, 42, 43, 46], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""plan_16"", ""site_3"", ""female"", ""site_4"", ""hlthp"", ""plan_2"", ""plan_17"", ""plan_7""], []]","[{""xage"": 0.22911857470326824, ""child"": -0.10348774847024872, ""disea"": 0.06509260422670463, ""black"": -0.08554274935408152, ""fmde"": -0.04015962627865491, ""coins"": -0.038593541678944604, ""logc"": -0.19631987087878508, ""mhi"": -0.01369978770091466, ""plan_16"": -0.010559353554947476, ""site_3"": 0.15282106139611445, ""female"": 0.058316618704823894, ""site_4"": -0.05392160588780111, ""hlthp"": 0.020383833709474355, ""plan_2"": 0.04836445814348602, ""plan_17"": 0.027810167915705994, ""plan_7"": 0.05223210643408957}, {}]","[-1.9362150609906497, 1.2237402831751873]",13,0.11601453190966324,74.35590744018555,randhealth_notmdvis_baseline,kmeans_glm,20260969,randhealth_notmdvis_baseline_K2_zinb-zinb_L50.0_kmeans_glm,5912,51
poisson+nb2+zip,3,100.0,True,True,,-3932.7424164414633,7978.386445897091,7891.484832882927,-3932.7424164414633,"[0.8419447055829938, 0.0955846961194338, 0.06247059829757227]","[{}, {""log_alpha"": 1.7936723618437163}, {""logit_theta"": 2.7519328349964987}]",3.1353068374099524,0.8833224448247723,True,0.8149733265778717,0.6846261853987915,True,3.1403712262975643,0.5373815967523681,0.0016126720450125864,-0.6437526892678798,"[6, 0, 0]",0.0,6.0,"[[1, 2, 4, 9, 16, 21], [], []]","[[""xage"", ""child"", ""disea"", ""black"", ""logc"", ""site_3""], [], []]","[{""xage"": 0.22287256927530996, ""child"": -0.042156792966430406, ""disea"": 0.04651673196887876, ""black"": -0.009214809812498698, ""logc"": -0.16862925387480934, ""site_3"": 0.10112586527706174}, {}, {}]","[-1.8524128700303446, 1.4032193074413373, 0.9114410381370346]",4,0.06247059829757227,34.45070958137512,randhealth_notmdvis_baseline,kmeans_glm,20261090,randhealth_notmdvis_baseline_K3_poisson-nb2-zip_L100.0_kmeans_glm,5912,51
zip+zinb,2,50.0,True,True,,-3893.7293916419526,7978.523051461722,7831.458783283905,-3893.7293916419526,"[0.8117908717606059, 0.188209128239394]","[{""logit_theta"": -18.18236142996161}, {""log_alpha"": 2.429071970259954, ""logit_theta"": -15.318256986430276}]",3.1328336419733223,0.8736811008565535,True,1.0288038089100031,0.7631188970133832,True,3.1403712262975643,0.5373815967523681,0.002400220795911623,-0.6258113529316789,"[16, 0]",0.0,16.0,"[[1, 2, 4, 9, 12, 15, 16, 17, 20, 21, 22, 23, 27, 42, 43, 46], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""plan_16"", ""site_3"", ""female"", ""site_4"", ""hlthp"", ""plan_2"", ""plan_17"", ""plan_7""], []]","[{""xage"": 0.2420121512422948, ""child"": -0.09389999989082848, ""disea"": 0.06656651650379086, ""black"": -0.07628278437124991, ""fmde"": -0.04467514404473227, ""coins"": -0.031779641340808185, ""logc"": -0.1914002086536785, ""mhi"": -0.00815933977350325, ""plan_16"": -0.009797497199764636, ""site_3"": 0.15174761045682073, ""female"": 0.056414812395119876, ""site_4"": -0.05333139717733219, ""hlthp"": 0.006539690064286117, ""plan_2"": 0.044358083242036224, ""plan_17"": 0.028828605912924465, ""plan_7"": 0.054038454794313795}, {}]","[-1.9034569466122306, 0.7392377460117201]",8,0.188209128239394,96.10266900062561,randhealth_notmdvis_baseline,quantile_glm,20260959,randhealth_notmdvis_baseline_K2_zip-zinb_L50.0_quantile_glm,5912,51
poisson+nb2+zinb,3,50.0,True,True,,-3886.1380405944305,7980.709828291934,7820.276081188861,-3886.1380405944305,"[0.8437588579799236, 0.07447116465864365, 0.08176997736143275]","[{}, {""log_alpha"": 2.6862334541743422}, {""log_alpha"": 0.12018408081737106, ""logit_theta"": 0.7633266358847709}]",3.1322537176740055,0.8767635924780244,True,1.1020482870554356,0.7838077192707676,True,3.1403712262975643,0.5373815967523681,0.002584888230914406,-0.6315474846490652,"[16, 0, 0]",0.0,16.0,"[[1, 2, 4, 9, 12, 15, 16, 17, 20, 21, 22, 23, 27, 42, 43, 46], [], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""plan_16"", ""site_3"", ""female"", ""site_4"", ""hlthp"", ""plan_2"", ""plan_17"", ""plan_7""], [], []]","[{""xage"": 0.22205988791502707, ""child"": -0.10104435780709864, ""disea"": 0.06490709892913032, ""black"": -0.08610896352961234, ""fmde"": -0.07451163010338227, ""coins"": -0.037859054971573936, ""logc"": -0.15500112945793873, ""mhi"": -0.009891461333927211, ""plan_16"": -0.01244680667934089, ""site_3"": 0.1455514769299261, ""female"": 0.057007443390269655, ""site_4"": -0.05645460209650706, ""hlthp"": 0.017602620970700558, ""plan_2"": 0.048464773069137886, ""plan_17"": 0.03321519584128768, ""plan_7"": 0.05603950083533443}, {}, {}]","[-1.8679090342475129, 0.7284228546523845, 2.205449729582626]",4,0.07447116465864365,64.91567039489746,randhealth_notmdvis_baseline,kmeans_glm,20261109,randhealth_notmdvis_baseline_K3_poisson-nb2-zinb_L50.0_kmeans_glm,5912,51
