Rank,K,Families,LogLik,AIC,BIC
1,2,student_t + gaussian,-1858.6903272040558,3745.3806544081117,3814.0892283138614
2,2,student_t + skew_normal,-1858.6903531645733,3747.3807063291465,3820.9970355138785
3,2,student_t + student_t,-1858.7637072198536,3747.527414439707,3821.143743624439
4,2,gaussian + student_t,-1868.4167983356685,3764.833596671337,3833.542170577087
5,2,gaussian + gaussian,-1873.337917660015,3772.67583532003,3836.476653946798
6,2,skew_normal + student_t,-1868.4169389345495,3766.833877869099,3840.450207053831
7,2,gaussian + skew_normal,-1873.3374603143332,3774.6749206286663,3843.383494534416
8,2,skew_normal + gaussian,-1873.3378535836605,3774.675707167321,3843.3842810730707
9,2,skew_normal + skew_normal,-1873.337394704739,3776.674789409478,3850.29111859421
10,3,student_t + gaussian + gaussian,-1857.1121451048755,3756.224290209751,3859.287151068376
