Rank,K,Families,LogLik,AIC,BIC
1,2,zip + poisson,-3659.948785439873,7343.897570879746,7407.656215524829
2,2,poisson + zip,-3660.178388086377,7344.356776172754,7408.115420817837
3,2,nb2 + zip,-3659.2333465194997,7344.466693038999,7413.538558071174
4,2,zip + nb2,-3659.348499442498,7344.696998884996,7413.76886391717
5,2,zip + zip,-3660.0730435765754,7346.146087153151,7415.217952185325
6,3,poisson + poisson + zip,-3653.9882550782368,7343.9765101564735,7439.614477124099
7,3,poisson + zip + poisson,-3654.149543700692,7344.299087401384,7439.937054369009
8,3,nb2 + poisson + poisson,-3656.0792590207598,7348.1585180415195,7443.796485009145
9,3,zip + poisson + poisson,-3657.0444060919644,7350.088812183929,7445.726779151554
10,3,poisson + zip + zip,-3654.331505404203,7346.663010808406,7447.614198163122
