Rank,K,Families,LogLik,AIC,BIC
1,2,nb2 + nb2,-2695.3180013910332,5416.6360027820665,5480.4368214088345
2,3,poisson + nb2 + nb2,-2687.8967305974897,5413.7934611949795,5507.04081149564
3,3,zip + poisson + poisson,-2693.647869247966,5423.295738495932,5511.63533351761
4,3,poisson + zip + poisson,-2694.2849680157433,5424.569936031487,5512.909531053165
5,3,nb2 + nb2 + poisson,-2691.2488062013203,5420.497612402641,5513.744962703301
6,3,nb2 + nb2 + zip,-2688.6879938224893,5417.3759876449785,5515.531093224621
7,3,nb2 + poisson + nb2,-2692.894517052845,5423.78903410569,5517.03638440635
8,3,poisson + poisson + nb2,-2696.380437029701,5428.760874059402,5517.1004690810805
9,3,poisson + nb2 + poisson,-2696.4223242706084,5428.844648541217,5517.184243562895
10,3,poisson + zip + zip,-2693.8882017333963,5425.7764034667925,5519.023753767453
