Rank,K,Families,LogLik,AIC,BIC
1,2,student_t + gaussian,-907.5071400019392,1843.0142800038784,1902.018793381789
2,2,gaussian + gaussian,-913.5138690244457,1853.0277380488915,1907.81764332838
3,2,student_t + skew_normal,-907.5071617547637,1845.0143235095275,1908.2334449858604
4,2,student_t + student_t,-907.6704852752297,1845.3409705504594,1908.5600920267923
5,2,gaussian + student_t,-912.843904936835,1853.68780987367,1912.6923232515805
6,2,gaussian + skew_normal,-913.5138653777954,1855.0277307555907,1914.0322441335013
7,2,skew_normal + gaussian,-913.5138658955196,1855.0277317910393,1914.0322451689499
8,2,skew_normal + student_t,-912.8439065706895,1855.687813141379,1918.9069346177118
9,2,skew_normal + skew_normal,-913.5138621109589,1857.0277242219179,1920.2468456982508
10,3,student_t + gaussian + gaussian,-903.5617008387055,1849.123401677411,1937.630171744277
