Rank,K,Families,LogLik,AIC,BIC
1,2,poisson + zip,-1335.1937372719121,2694.3874745438243,2744.9627717248904
2,2,zip + poisson,-1335.2093859156228,2694.4187718312455,2744.9940690123117
3,2,nb2 + zip,-1334.6073757022107,2695.2147514044213,2750.00465668391
4,2,zip + zip,-1335.0737378641356,2696.1474757282713,2750.9373810077595
5,2,zip + nb2,-1335.184179851528,2696.368359703056,2751.158264982544
6,2,nb2 + nb2,-1338.4074185556697,2702.8148371113393,2757.6047423908276
7,3,poisson + poisson + nb2,-1328.7852246092643,2693.5704492185287,2769.433394990128
8,3,poisson + poisson + zip,-1330.5871162817084,2697.174232563417,2773.037178335016
9,3,poisson + nb2 + poisson,-1331.4873975967703,2698.9747951935406,2774.83774096514
10,3,nb2 + poisson + poisson,-1331.5604644777359,2699.1209289554718,2774.983874727071
