Rank,K,Families,LogLik,AIC,BIC
1,2,gamma + lognormal,-1670.776425124109,3367.552850248218,3436.6247152803917
2,2,lognormal + lognormal,-1674.6438516651922,3375.2877033303844,3444.359568362558
3,2,inverse_gaussian + lognormal,-1685.4731922916342,3396.9463845832684,3466.018249615442
4,3,lognormal + inverse_gaussian + gamma,-1664.2765188716114,3368.553037743223,3474.8174454850287
5,3,inverse_gaussian + gamma + lognormal,-1664.2885031589449,3368.5770063178898,3474.8414140596956
6,3,gamma + lognormal + lognormal,-1666.8670285120857,3373.7340570241713,3479.998464765977
7,3,lognormal + gamma + lognormal,-1666.8670285120857,3373.7340570241713,3479.998464765977
8,3,inverse_gaussian + lognormal + gamma,-1668.1463147107472,3376.2926294214944,3482.5570371633003
9,3,lognormal + lognormal + inverse_gaussian,-1668.228816892104,3376.457633784208,3482.722041526014
10,3,inverse_gaussian + gamma + gamma,-1668.341792035098,3376.683584070196,3482.947991812002
