Rank,K,Families,LogLik,AIC,BIC
1,2,nb2 + nb2,-4102.478147990092,8230.956295980184,8300.028161012358
2,2,zip + poisson,-4110.909360476111,8245.818720952222,8309.577365597306
3,2,poisson + zip,-4110.933289957117,8245.866579914235,8309.625224559319
4,2,nb2 + zip,-4109.322604514669,8244.645209029339,8313.717074061513
5,2,zip + nb2,-4109.511028591151,8245.022057182303,8314.093922214477
6,2,zip + zip,-4110.807583355731,8247.615166711463,8316.687031743637
7,3,zip + poisson + poisson,-4099.210281462807,8234.420562925614,8330.05852989324
8,3,poisson + poisson + zip,-4100.635006034965,8237.27001206993,8332.907979037556
9,3,poisson + zip + nb2,-4097.897251031657,8233.794502063314,8334.74568941803
10,3,poisson + nb2 + poisson,-4101.57443819666,8239.14887639332,8334.786843360946
