Rank,K,Families,LogLik,AIC,BIC
1,2,poisson + zip,-2431.7645166842317,4887.529033368463,4946.422096716249
2,2,zip + poisson,-2431.8329465200586,4887.665893040117,4946.558956387903
3,2,zip + nb2,-2431.807502583153,4889.615005166306,4953.415823793074
4,2,zip + zip,-2431.812393416601,4889.624786833202,4953.42560545997
5,2,nb2 + zip,-2432.56137506821,4891.12275013642,4954.923568763188
6,3,poisson + poisson + poisson,-2425.892019719493,4885.784039438986,4969.215879181682
7,2,nb2 + nb2,-2440.050215445499,4906.100430890998,4969.901249517766
8,3,poisson + poisson + nb2,-2424.140809062914,4884.281618125828,4972.621213147506
9,3,zip + poisson + nb2,-2423.6054783488385,4885.210956697677,4978.458306998337
10,3,zip + nb2 + poisson,-2424.9955825542675,4887.991165108535,4981.238515409195
