Rank,K,Families,LogLik,AIC,BIC
1,2,student_t + gaussian,-2758.415050427605,5544.83010085521,5619.215186274474
2,2,student_t + skew_normal,-2758.415148275769,5546.830296551538,5626.528602357892
3,2,student_t + student_t,-2758.453108722311,5546.906217444622,5626.604523250976
4,2,gaussian + gaussian,-2776.041176194378,5578.082352388756,5647.15421742093
5,2,gaussian + student_t,-2774.5137492473596,5577.027498494719,5651.412583913983
6,2,skew_normal + gaussian,-2776.0411800389875,5580.082360077975,5654.467445497239
7,2,gaussian + skew_normal,-2776.0411927647638,5580.0823855295275,5654.467470948792
8,3,student_t + gaussian + gaussian,-2750.683648228239,5543.367296456478,5654.944924585374
9,2,skew_normal + student_t,-2774.5136030340627,5579.027206068125,5658.72551187448
10,2,skew_normal + skew_normal,-2776.041196737663,5582.082393475326,5661.78069928168
