Rank,K,Families,LogLik,AIC,BIC
1,2,lognormal + gamma,-1163.5243522220826,2353.048704444165,2416.849523070933
2,2,gamma + lognormal,-1163.5243522220826,2353.048704444165,2416.849523070933
3,2,lognormal + lognormal,-1163.6466248470197,2353.2932496940393,2417.0940683208073
4,2,inverse_gaussian + lognormal,-1169.4532709995271,2364.9065419990543,2428.7073606258223
5,2,lognormal + inverse_gaussian,-1169.4532709995271,2364.9065419990543,2428.7073606258223
6,3,inverse_gaussian + lognormal + lognormal,-1150.8374905529479,2341.6749811058958,2439.8300866855384
7,3,gamma + lognormal + inverse_gaussian,-1150.8850484478437,2341.7700968956874,2439.92520247533
8,3,inverse_gaussian + lognormal + inverse_gaussian,-1156.6591396662589,2353.3182793325177,2451.4733849121603
9,3,lognormal + inverse_gaussian + inverse_gaussian,-1156.6821403558974,2353.364280711795,2451.5193862914375
10,3,inverse_gaussian + inverse_gaussian + lognormal,-1156.6821408222847,2353.3642816445695,2451.519387224212
