Rank,K,Families,LogLik,AIC,BIC
1,2,zip + poisson,-1193.0759804488314,2410.151960897663,2460.727258078729
2,2,poisson + zip,-1193.0831530854557,2410.1663061709114,2460.7416033519776
3,2,zip + nb2,-1192.6087615910506,2411.217523182101,2466.0074284615894
4,2,zip + zip,-1193.065016088804,2412.130032177608,2466.9199374570962
5,2,nb2 + zip,-1193.0784543664404,2412.1569087328808,2466.946814012369
6,3,poisson + poisson + nb2,-1187.1446527084738,2410.2893054169476,2486.152251188547
7,3,poisson + nb2 + poisson,-1187.709055624252,2411.418111248504,2487.281057020103
8,3,poisson + poisson + poisson,-1191.0446501177344,2416.0893002354687,2487.737637908646
9,3,poisson + poisson + zip,-1189.561030018418,2415.122060036836,2490.9850058084353
10,3,zip + poisson + poisson,-1190.6083330342194,2417.216666068439,2493.079611840038
