example_id,n,rank,K,families,bic,is_true_structure,is_equiv_structure
4,500,7,3,poisson + nb2 + poisson,2487.281057020103,False,False
4,500,8,3,poisson + poisson + poisson,2487.737637908646,False,False
4,500,9,3,poisson + poisson + zip,2490.9850058084353,False,False
4,500,10,3,zip + poisson + poisson,2493.079611840038,False,False
4,1000,1,2,poisson + zip,4946.422096716249,True,True
4,1000,2,2,zip + poisson,4946.558956387903,True,True
4,1000,3,2,zip + nb2,4953.415823793074,False,False
4,1000,4,2,zip + zip,4953.42560545997,False,True
4,1000,5,2,nb2 + zip,4954.923568763188,False,False
4,1000,6,3,poisson + poisson + poisson,4969.215879181682,False,False
4,1000,7,2,nb2 + nb2,4969.901249517766,False,False
4,1000,8,3,poisson + poisson + nb2,4972.621213147506,False,False
4,1000,9,3,zip + poisson + nb2,4978.458306998337,False,False
4,1000,10,3,zip + nb2 + poisson,4981.238515409195,False,False
4,1500,1,2,zip + poisson,7407.656215524829,True,True
4,1500,2,2,poisson + zip,7408.115420817837,True,True
4,1500,3,2,nb2 + zip,7413.538558071174,False,False
4,1500,4,2,zip + nb2,7413.76886391717,False,False
4,1500,5,2,zip + zip,7415.217952185325,False,True
4,1500,6,3,poisson + poisson + zip,7439.614477124099,False,False
4,1500,7,3,poisson + zip + poisson,7439.937054369009,False,False
4,1500,8,3,nb2 + poisson + poisson,7443.796485009145,False,False
4,1500,9,3,zip + poisson + poisson,7445.726779151554,False,False
4,1500,10,3,poisson + zip + zip,7447.614198163122,False,False
1,500,1,2,gaussian + gaussian,1916.2138389598983,False,False
1,500,2,2,student_t + gaussian,1919.3521515011732,True,True
1,500,3,2,gaussian + student_t,1922.408783824302,True,True
1,500,4,2,skew_normal + gaussian,1922.4278298038669,False,False
1,500,5,2,gaussian + skew_normal,1922.4285432648542,False,False
1,500,6,2,student_t + student_t,1925.513291546866,False,True
1,500,7,2,student_t + skew_normal,1925.566560278224,False,False
1,500,8,2,skew_normal + student_t,1928.6244611660497,False,False
1,500,9,2,skew_normal + skew_normal,1928.642535946772,False,False
1,500,10,3,gaussian + gaussian + gaussian,1952.739549836143,False,False
1,1000,1,2,student_t + gaussian,3816.6819840407634,True,True
1,1000,2,2,student_t + student_t,3822.696138571016,False,True
1,1000,3,2,student_t + skew_normal,3823.5900473409147,False,False
1,1000,4,2,gaussian + student_t,3834.1877532813987,True,True
1,1000,5,2,skew_normal + student_t,3841.0961435271233,False,False
1,1000,6,3,student_t + gaussian + gaussian,3865.2859564283544,False,False
1,1000,7,3,gaussian + student_t + gaussian,3865.8477432633613,False,False
1,1000,8,3,gaussian + gaussian + gaussian,3867.515335992715,False,False
1,1000,9,3,student_t + student_t + gaussian,3870.5714958663684,False,False
1,1000,10,3,student_t + gaussian + student_t,3871.59115332976,False,False
1,1500,1,2,student_t + gaussian,5691.872580632608,True,True
1,1500,2,2,student_t + student_t,5699.109469333677,False,True
1,1500,3,2,student_t + skew_normal,5699.18583030411,False,False
1,1500,4,2,gaussian + student_t,5723.376415811286,True,True
1,1500,5,2,skew_normal + student_t,5730.689924536948,False,False
1,1500,6,3,student_t + gaussian + gaussian,5739.972508255749,False,False
1,1500,7,3,student_t + student_t + gaussian,5746.463401367655,False,False
1,1500,8,3,student_t + gaussian + student_t,5747.267724412177,False,False
1,1500,9,3,student_t + gaussian + skew_normal,5747.28534117036,False,False
