criterion,example_id,n,K,families,count,avg_rank,avg_bic,true_hits,equiv_hits
BIC,3,1000,2,zip + zip,86,5.941860465116279,5494.734867032378,0,0
BIC,3,1000,2,zip + nb2,85,4.670588235294118,5494.825385592167,0,0
BIC,3,1000,2,nb2 + zip,85,4.976470588235294,5494.9870736556095,0,0
BIC,3,1000,3,nb2 + nb2 + poisson,38,7.7631578947368425,5523.272077917078,0,0
BIC,3,1000,3,zip + poisson + poisson,36,7.083333333333333,5511.028324449124,0,0
BIC,3,1000,3,poisson + nb2 + nb2,33,7.090909090909091,5506.372224513634,0,0
BIC,3,1000,3,nb2 + poisson + nb2,33,7.545454545454546,5519.063465103687,0,0
BIC,3,1500,2,nb2 + nb2,100,1.04,8192.634316922542,0,100
BIC,3,1500,2,zip + poisson,71,3.267605633802817,8205.73003879716,0,0
BIC,3,1500,2,poisson + zip,70,3.0142857142857142,8202.840477091193,0,0
BIC,3,1500,3,nb2 + poisson + nb2,59,6.338983050847458,8244.710266337479,0,0
BIC,3,1500,2,zip + nb2,57,4.982456140350878,8199.589806935524,0,0
BIC,3,1500,2,zip + zip,56,6.25,8204.694566553484,0,0
BIC,3,1500,2,nb2 + zip,55,4.581818181818182,8199.925827766063,0,0
BIC,3,1500,3,poisson + nb2 + nb2,54,6.351851851851852,8237.50099900865,0,0
BIC,3,1500,3,nb2 + nb2 + poisson,53,6.509433962264151,8241.22405216353,0,0
BIC,3,1500,3,zip + poisson + poisson,36,5.833333333333333,8229.301507450316,0,0
BIC,4,500,2,poisson + zip,100,1.58,2486.89189226585,100,100
BIC,4,500,2,nb2 + zip,99,3.757575757575758,2492.241697337345,0,0
BIC,4,500,2,zip + zip,99,4.444444444444445,2492.1061432758966,0,99
BIC,4,500,2,zip + poisson,98,1.489795918367347,2486.728975270459,98,98
BIC,4,500,2,zip + nb2,98,3.7142857142857144,2492.4715313137226,0,0
BIC,4,500,2,nb2 + nb2,80,6.7375,2514.365407831832,0,0
BIC,4,500,3,poisson + nb2 + poisson,58,8.10344827586207,2515.873657956569,0,0
BIC,4,500,3,nb2 + poisson + poisson,53,8.075471698113208,2509.8017647269976,0,0
BIC,4,500,3,poisson + poisson + poisson,52,6.865384615384615,2519.5255038026717,0,0
BIC,4,500,3,poisson + poisson + nb2,50,7.96,2518.9235434533043,0,0
BIC,4,1000,2,zip + poisson,100,1.51,4929.404747283562,100,100
BIC,4,1000,2,poisson + zip,100,1.56,4929.5875179531595,100,100
BIC,4,1000,2,nb2 + zip,100,3.73,4935.309393633461,0,0
BIC,4,1000,2,zip + zip,100,4.53,4936.289322861653,0,100
BIC,4,1000,2,zip + nb2,99,3.686868686868687,4935.248501508175,0,0
BIC,4,1000,3,nb2 + poisson + poisson,69,7.811594202898551,4965.07000132971,0,0
BIC,4,1000,3,poisson + poisson + nb2,64,7.703125,4959.943007797235,0,0
BIC,4,1000,3,poisson + poisson + poisson,62,6.935483870967742,4952.979589696344,0,0
BIC,4,1000,3,poisson + nb2 + poisson,58,7.551724137931035,4960.640291341897,0,0
BIC,4,1000,3,poisson + zip + poisson,39,8.102564102564102,4976.038558828979,0,0
BIC,4,1500,2,zip + poisson,100,1.48,7372.179303217293,100,100
BIC,4,1500,2,poisson + zip,100,1.56,7372.184042405113,100,100
BIC,4,1500,2,nb2 + zip,100,3.6,7378.162197679642,0,0
BIC,4,1500,2,zip + nb2,100,3.82,7378.2429988615295,0,0
BIC,4,1500,2,zip + zip,100,4.54,7379.472580023949,0,100
BIC,4,1500,3,nb2 + poisson + poisson,67,7.432835820895522,7402.519980267397,0,0
BIC,4,1500,3,poisson + nb2 + poisson,65,7.384615384615385,7399.383064379335,0,0
BIC,4,1500,3,poisson + poisson + nb2,60,7.366666666666666,7402.087009537025,0,0
BIC,4,1500,3,poisson + poisson + poisson,53,6.773584905660377,7405.283362518423,0,0
BIC,4,1500,3,nb2 + nb2 + poisson,38,8.973684210526315,7404.3378970430595,0,0
