scenario,example_id,seed,penalty,lambda,l1_ratio,bic,test_ll,time,tpr,fpr,fdr,fnr,mse,selected_size,active_size,tp,fp,fn,tn
B,1,1,enet,200.0,0.5,4336.934485398189,-2.153475102295918,0.5019454956054688,0.30000000000000004,0.0,0.0,0.7,0.15915756640697248,3,10,3,0,7,30
B,2,2,none,0.0,,2530.4622460715614,-1.2099562425176706,1.2309863567352295,1.0,1.0,0.75,0.0,0.0018977885839991694,40,10,10,30,0,0
B,2,2,lasso,1.0,,2523.6106790208455,-1.209047916125523,1.2266566753387451,1.0,0.9666666666666667,0.7435897435897436,0.0,0.0017756880235891223,39,10,10,29,0,1
B,2,2,lasso,2.0,,2523.790959572014,-1.2082481333327788,1.2164642810821533,1.0,0.9666666666666667,0.7435897435897436,0.0,0.001671466227161246,39,10,10,29,0,1
B,2,2,lasso,5.0,,2504.274647861949,-1.206187260913337,1.2274010181427002,1.0,0.8666666666666667,0.7222222222222222,0.0,0.0014224242984273118,36,10,10,26,0,4
B,2,2,lasso,10.0,,2494.4099560723566,-1.204361027183669,1.484337329864502,1.0,0.8,0.7058823529411765,0.0,0.0012153071666190973,34,10,10,24,0,6
B,2,2,lasso,20.0,,2457.109712559498,-1.2057548283880186,1.5116245746612549,1.0,0.5666666666666667,0.6296296296296297,0.0,0.0015432718687251074,27,10,10,17,0,13
B,2,2,lasso,50.0,,2447.3669924734186,-1.231195755032146,1.4941010475158691,0.9,0.3333333333333333,0.5263157894736842,0.1,0.006335920116469518,19,10,9,10,1,20
B,2,2,lasso,100.0,,2428.4835293000892,-1.238532363861491,1.9260714054107666,0.6,0.23333333333333334,0.5384615384615384,0.4,0.007915940919151182,13,10,6,7,4,23
B,2,2,lasso,200.0,,2412.754381335959,-1.2430239490281296,1.7542166709899902,0.6,0.06666666666666667,0.25,0.4,0.007958199907659344,8,10,6,2,4,28
B,2,2,enet,1.0,0.5,2530.4764282919286,-1.209496606729473,1.2010269165039062,1.0,1.0,0.75,0.0,0.0018282863373698657,40,10,10,30,0,0
B,2,2,enet,2.0,0.5,2523.6256841986697,-1.2090103524325442,1.228663682937622,1.0,0.9666666666666667,0.7435897435897436,0.0,0.0017645383046622945,39,10,10,29,0,1
B,2,2,enet,5.0,0.5,2517.1099052989252,-1.2078415020144762,1.2416980266571045,1.0,0.9333333333333333,0.7368421052631579,0.0,0.001603275479132149,38,10,10,28,0,2
B,2,2,enet,10.0,0.5,2504.6070806177217,-1.2062221001246147,1.232952356338501,1.0,0.8666666666666667,0.7222222222222222,0.0,0.0014039223502185353,36,10,10,26,0,4
B,2,2,enet,20.0,0.5,2495.4847920791967,-1.204911680431574,1.4806110858917236,1.0,0.8,0.7058823529411765,0.0,0.001257056194422217,34,10,10,24,0,6
B,2,2,enet,50.0,0.5,2445.8633096095778,-1.2099672572566251,1.4869270324707031,1.0,0.4666666666666667,0.5833333333333334,0.0,0.002327121886896863,24,10,10,14,0,16
B,2,2,enet,100.0,0.5,2443.637062918993,-1.2330908039790995,1.5167820453643799,0.8,0.3333333333333333,0.5555555555555556,0.2,0.0066549733272019485,18,10,8,10,2,20
B,2,2,enet,200.0,0.5,2429.590236093136,-1.238957947410579,1.9560649394989014,0.6,0.23333333333333334,0.5384615384615384,0.4,0.007923593216922755,13,10,6,7,4,23
B,4,4,none,0.0,,5081.7304299680945,-2.4507804618642983,5.242843151092529,1.0,1.0,0.75,0.0,0.003971591827798199,40,10,10,30,0,0
B,4,4,lasso,1.0,,5081.241110128256,-2.448505983626404,5.183078765869141,1.0,1.0,0.75,0.0,0.0033334518061704033,40,10,10,30,0,0
B,4,4,lasso,2.0,,5060.283062329352,-2.446514164322607,5.08438515663147,1.0,0.9,0.7297297297297297,0.0,0.002837147269891615,37,10,10,27,0,3
B,4,4,lasso,5.0,,5026.6833840780755,-2.4436581489816644,4.761003494262695,1.0,0.7333333333333334,0.6875,0.0,0.002364786801995568,32,10,10,22,0,8
