example_id,penalty,Lambda,MSE,TPR,FPR,FDR,FNR,Selected,Test_LL
1,enet,20.3,0.005312994301083237,1.0,0.524,0.6021951774489619,0.0,25.72,-1.9167000547877386
1,lasso,19.9,0.005588209450297934,1.0,0.222,0.38751110016051465,0.0,16.66,-1.915388527564807
1,none,0.0,0.004995937227180915,1.0,0.9983333333333333,0.7496761133603239,0.0,39.95,-1.9191826256995828
2,enet,141.0,0.0073116024165968485,0.7659999999999999,0.27566666666666667,0.4937924237043642,0.234,15.93,-1.1645233060079199
2,lasso,136.4,0.008121318543044646,0.7170000000000001,0.15233333333333332,0.28896629320655853,0.28300000000000003,11.74,-1.1700832404480417
2,none,0.0,0.002911812597776844,1.0,0.9946666666666667,0.7489676113360324,0.0,39.84,-1.1522778839951047
4,enet,65.6,0.006094462811397664,0.985,0.38266666666666665,0.5198783446838947,0.015,21.33,-2.4732289753888295
4,lasso,43.6,0.006190871788690143,0.975,0.29733333333333334,0.4517250015598885,0.025,18.67,-2.472955912235744
4,none,0.0,0.006481038002408707,1.0,0.9973333333333333,0.7494871794871796,0.0,39.92,-2.476967431993759
