criterion,example_id,n,K,families,count,avg_rank,avg_bic,true_hits,equiv_hits
BIC,3,500,2,nb2 + nb2,100,2.65,2777.566106273321,0,100
BIC,3,500,2,poisson + zip,97,2.2577319587628866,2780.1273382377726,0,0
BIC,3,500,2,nb2 + zip,95,4.863157894736842,2784.4776197496462,0,0
BIC,3,500,2,zip + poisson,94,2.4148936170212765,2779.6767879591835,0,0
BIC,3,500,2,zip + nb2,94,4.75531914893617,2785.161196778985,0,0
BIC,3,500,2,zip + zip,91,5.747252747252747,2784.3411769492404,0,0
BIC,3,500,2,poisson + poisson,56,6.625,2783.963921277524,0,0
BIC,3,500,3,nb2 + poisson + poisson,39,8.307692307692308,2798.180752004198,0,0
BIC,3,500,3,poisson + poisson + poisson,38,7.657894736842105,2801.6197206624306,0,0
BIC,3,500,2,poisson + nb2,38,8.0,2789.0777954705386,38,38
