criterion,example_id,n,K,families,count,avg_rank,avg_bic,true_hits,equiv_hits
BIC,3,1000,2,nb2 + nb2,100,1.31,5479.651711723587,0,100
BIC,3,1000,2,zip + poisson,93,2.752688172043011,5490.880770344519,0,0
BIC,3,1000,2,poisson + zip,89,2.7865168539325844,5488.253621333865,0,0
BIC,3,1000,2,zip + zip,86,5.941860465116279,5494.734867032378,0,0
BIC,3,1000,2,zip + nb2,85,4.670588235294118,5494.825385592167,0,0
BIC,3,1000,2,nb2 + zip,85,4.976470588235294,5494.9870736556095,0,0
BIC,3,1000,3,nb2 + nb2 + poisson,38,7.7631578947368425,5523.272077917078,0,0
BIC,3,1000,3,zip + poisson + poisson,36,7.083333333333333,5511.028324449124,0,0
BIC,3,1000,3,poisson + nb2 + nb2,33,7.090909090909091,5506.372224513634,0,0
BIC,3,1000,3,nb2 + poisson + nb2,33,7.545454545454546,5519.063465103687,0,0
