criterion,example_id,n,K,families,count,avg_rank,avg_bic,true_hits,equiv_hits
BIC,2,500,2,lognormal + lognormal,100,2.35,1186.0423477570887,0,0
BIC,2,500,2,gamma + lognormal,96,2.90625,1188.8588224851685,96,96
BIC,2,500,2,lognormal + inverse_gaussian,94,4.553191489361702,1194.1757538944537,0,0
BIC,2,500,2,lognormal + gamma,90,2.1333333333333333,1188.4914805683607,90,90
BIC,2,500,2,inverse_gaussian + lognormal,87,4.114942528735632,1198.8125744043407,0,0
BIC,2,500,2,inverse_gaussian + gamma,76,5.973684210526316,1201.9314661988828,0,0
BIC,2,500,2,gamma + inverse_gaussian,73,6.4520547945205475,1198.6544443338912,0,0
BIC,2,500,2,gamma + gamma,61,6.19672131147541,1205.1221406192494,0,0
BIC,2,500,2,inverse_gaussian + inverse_gaussian,44,7.431818181818182,1193.086134863013,0,0
BIC,2,500,3,inverse_gaussian + lognormal + lognormal,25,8.92,1177.3438115359181,0,0
