criterion,example_id,n,K,families,count,avg_rank,avg_bic,true_hits,equiv_hits
BIC,2,1500,2,lognormal + lognormal,100,2.27,3457.506999594026,0,0
BIC,2,1500,2,lognormal + inverse_gaussian,84,4.226190476190476,3474.0654255058316,0,0
BIC,2,1500,2,gamma + lognormal,76,1.7894736842105263,3456.234467229966,76,76
BIC,2,1500,2,inverse_gaussian + lognormal,74,3.6216216216216215,3473.0783454509497,0,0
BIC,2,1500,2,lognormal + gamma,71,1.2112676056338028,3467.763966182078,71,71
BIC,2,1500,3,gamma + lognormal + lognormal,55,7.036363636363636,3484.2682689090575,0,0
BIC,2,1500,3,lognormal + gamma + lognormal,49,7.36734693877551,3479.5495172786577,0,0
BIC,2,1500,3,lognormal + lognormal + gamma,47,7.23404255319149,3505.973235651204,0,0
BIC,2,1500,3,lognormal + lognormal + lognormal,41,7.2439024390243905,3531.0089863489607,0,0
BIC,2,1500,3,lognormal + gamma + inverse_gaussian,37,7.108108108108108,3514.6421360424793,0,0
